rop_start,gnb_id,cell_id,profile,RRC_ConnEstabAtt,RRC_ConnEstabSucc,PDU_SesEstabAtt,PDU_SesEstabSucc,MM_HoExeAtt,MM_HoExeSucc,DRB_RelActNbr,DRB_RelActAbnormal,RRU_PrbTotDlUsedPct,DRB_UEThpDl_Mbps,DRB_UEThpUl_Mbps,RRC_ConnMean,Cell_UnavailSecs
2026-07-06T01:00:00,gNB-001,NRCell-002,suburban,67,66,63,61,20,20,61,0,29.1,283.2,45.3,16.0,0
2026-07-06T01:00:00,gNB-001,NRCell-003,rural,31,31,29,29,9,9,29,1,36.2,265.7,43.1,6.6,0
2026-07-06T01:00:00,gNB-002,NRCell-004,urban,118,117,112,112,31,31,112,0,27.7,274.4,42.7,18.3,0
2026-07-06T01:00:00,gNB-002,NRCell-005,rural,25,25,24,24,8,8,24,0,42.3,219.9,29.4,4.2,0
2026-07-06T01:00:00,gNB-002,NRCell-006,degraded,68,64,62,60,25,22,60,6,27.2,148.1,9.4,13.9,0
2026-07-06T01:15:00,gNB-001,NRCell-001,urban,117,115,111,109,51,51,109,0,28.7,259.0,28.4,19.3,0
2026-07-06T01:15:00,gNB-001,NRCell-002,suburban,58,57,54,54,19,19,54,1,29.5,294.9,32.0,12.4,0
2026-07-06T01:15:00,gNB-001,NRCell-003,rural,33,32,31,31,12,12,31,0,38.6,232.8,36.7,5.3,0
2026-07-06T01:15:00,gNB-002,NRCell-004,urban,119,116,115,112,44,43,112,2,29.3,256.5,33.7,29.7,0
2026-07-06T01:15:00,gNB-002,NRCell-005,rural,25,25,24,24,8,8,24,0,41.9,220.1,30.1,3.8,0
2026-07-06T01:15:00,gNB-002,NRCell-006,degraded,70,67,65,62,20,18,62,4,30.1,124.3,7.0,12.8,0
2026-07-06T01:30:00,gNB-001,NRCell-001,urban,91,91,88,88,23,23,88,0,26.2,283.7,46.6,23.7,0
2026-07-06T01:30:00,gNB-001,NRCell-002,suburban,76,76,72,71,28,26,71,0,32.6,276.9,29.0,13.2,0
2026-07-06T01:30:00,gNB-001,NRCell-003,rural,29,28,26,26,12,11,26,1,41.1,248.3,25.2,7.7,0
2026-07-06T01:30:00,gNB-002,NRCell-004,urban,118,117,116,116,41,41,116,0,26.1,300.4,48.3,29.2,0
2026-07-06T01:30:00,gNB-002,NRCell-005,rural,27,26,25,24,9,9,24,1,40.8,239.0,34.3,5.0,0
2026-07-06T01:30:00,gNB-002,NRCell-006,degraded,65,62,60,56,19,19,56,4,26.4,130.9,9.2,15.5,0
2026-07-06T01:45:00,gNB-001,NRCell-001,urban,122,121,118,118,53,50,118,0,28.3,300.4,46.6,22.6,0
2026-07-06T01:45:00,gNB-001,NRCell-002,suburban,68,67,66,65,28,27,65,0,29.4,262.2,37.1,15.4,0
2026-07-06T01:45:00,gNB-001,NRCell-003,rural,37,37,36,36,13,13,36,1,41.1,253.4,30.8,7.0,0
2026-07-06T01:45:00,gNB-002,NRCell-004,urban,116,116,111,111,31,31,111,0,27.1,282.3,30.2,26.2,0
2026-07-06T01:45:00,gNB-002,NRCell-005,rural,26,26,24,24,7,7,24,0,39.0,248.4,26.7,6.9,0
2026-07-06T01:45:00,gNB-002,NRCell-006,degraded,73,71,68,67,19,18,67,7,28.5,149.1,10.8,10.8,0
2026-07-06T02:00:00,gNB-001,NRCell-001,urban,78,77,75,75,24,24,75,0,29.1,286.1,37.3,16.4,0
2026-07-06T02:00:00,gNB-001,NRCell-002,suburban,83,82,78,77,35,33,77,1,32.3,268.3,39.8,12.3,0
2026-07-06T02:00:00,gNB-001,NRCell-003,rural,41,41,40,40,13,12,40,0,43.8,258.4,31.4,6.6,0
2026-07-06T02:00:00,gNB-002,NRCell-004,urban,114,113,107,106,31,31,106,0,28.6,294.2,30.8,24.0,0
2026-07-06T02:00:00,gNB-002,NRCell-005,rural,24,24,22,22,9,9,22,0,37.7,251.9,45.0,5.1,0
2026-07-06T02:00:00,gNB-002,NRCell-006,degraded,72,69,67,62,20,18,62,2,29.1,124.4,9.2,13.0,0
2026-07-06T02:15:00,gNB-001,NRCell-001,urban,106,105,104,104,41,40,104,2,29.2,255.1,38.6,17.2,0
2026-07-06T02:15:00,gNB-001,NRCell-002,suburban,76,76,72,71,23,23,71,0,30.1,256.0,27.5,14.6,0
2026-07-06T02:15:00,gNB-001,NRCell-003,rural,39,39,37,37,10,10,37,0,41.4,238.2,31.8,7.6,0
2026-07-06T02:15:00,gNB-002,NRCell-004,urban,133,132,130,130,56,55,130,1,30.1,260.5,46.4,24.2,0
2026-07-06T02:15:00,gNB-002,NRCell-005,rural,28,28,27,27,9,8,27,0,42.2,230.4,32.5,6.1,0
2026-07-06T02:15:00,gNB-002,NRCell-006,degraded,77,70,67,64,19,18,64,7,29.9,137.0,10.0,15.6,0
2026-07-06T02:30:00,gNB-001,NRCell-001,urban,97,96,92,92,42,41,92,1,26.2,298.6,50.0,23.4,0
2026-07-06T02:30:00,gNB-001,NRCell-002,suburban,65,65,64,64,23,22,64,1,35.0,259.9,27.9,15.5,0
2026-07-06T02:30:00,gNB-001,NRCell-003,rural,35,34,33,33,9,9,33,0,36.3,233.1,26.1,7.2,0
2026-07-06T02:30:00,gNB-002,NRCell-004,urban,129,128,124,122,47,46,122,0,26.1,260.1,33.9,30.6,0
2026-07-06T02:30:00,gNB-002,NRCell-005,rural,25,25,24,24,10,10,24,0,37.4,275.9,43.9,4.5,0
2026-07-06T02:30:00,gNB-002,NRCell-006,degraded,73,68,66,59,23,22,59,9,28.4,135.1,12.0,11.6,0
2026-07-06T02:45:00,gNB-001,NRCell-001,urban,117,116,113,113,51,51,113,2,28.2,293.2,49.5,24.1,0
2026-07-06T02:45:00,gNB-001,NRCell-002,suburban,82,82,78,76,32,31,76,0,30.4,252.8,26.7,18.1,0
2026-07-06T02:45:00,gNB-001,NRCell-003,rural,36,35,34,34,10,10,34,1,41.8,229.7,26.6,6.1,0
2026-07-06T02:45:00,gNB-002,NRCell-004,urban,118,116,113,113,41,40,113,1,26.4,294.6,44.2,21.9,0
2026-07-06T02:45:00,gNB-002,NRCell-005,rural,26,26,24,24,10,9,24,0,36.6,241.0,40.8,4.9,0
2026-07-06T02:45:00,gNB-002,NRCell-006,degraded,67,64,62,59,21,20,59,6,29.3,135.9,12.2,15.0,0
2026-07-06T03:00:00,gNB-001,NRCell-001,urban,107,106,102,102,38,38,102,1,27.4,275.9,42.8,18.4,0
2026-07-06T03:00:00,gNB-001,NRCell-002,suburban,76,75,71,71,31,31,71,0,34.4,247.1,26.2,15.8,0
2026-07-06T03:00:00,gNB-001,NRCell-003,rural,39,39,37,37,16,16,37,0,44.2,238.4,28.9,9.4,0
2026-07-06T03:00:00,gNB-002,NRCell-004,urban,141,140,138,137,43,42,137,1,29.8,270.1,45.8,32.2,0
2026-07-06T03:00:00,gNB-002,NRCell-005,rural,26,24,23,23,6,6,23,0,39.4,238.5,35.1,5.2,0
2026-07-06T03:00:00,gNB-002,NRCell-006,degraded,79,74,71,66,32,30,66,0,27.6,264.1,46.4,18.5,0
2026-07-06T03:15:00,gNB-001,NRCell-001,urban,122,121,120,120,31,29,120,2,28.5,273.5,45.0,21.5,0
2026-07-06T03:15:00,gNB-001,NRCell-002,suburban,76,75,73,72,28,28,72,0,29.9,261.1,39.0,14.1,0
2026-07-06T03:15:00,gNB-001,NRCell-003,rural,35,35,34,34,9,9,34,0,40.4,248.7,30.3,6.5,0
2026-07-06T03:15:00,gNB-002,NRCell-004,urban,139,136,132,132,37,37,132,0,29.4,286.2,36.7,30.7,0
2026-07-06T03:15:00,gNB-002,NRCell-005,rural,28,28,26,26,7,7,26,0,36.8,270.5,47.4,4.2,0
2026-07-06T03:15:00,gNB-002,NRCell-006,degraded,70,66,63,62,22,21,62,2,30.4,247.9,38.0,15.4,0
2026-07-06T03:30:00,gNB-001,NRCell-001,urban,118,117,114,114,51,49,114,0,29.0,289.4,43.3,17.0,0
2026-07-06T03:30:00,gNB-001,NRCell-002,suburban,75,75,72,72,20,20,72,0,32.4,256.8,36.8,11.3,0
2026-07-06T03:30:00,gNB-001,NRCell-003,rural,43,43,41,41,10,10,41,0,37.5,235.1,36.7,6.8,0
2026-07-06T03:30:00,gNB-002,NRCell-004,urban,142,139,134,131,39,39,131,0,28.5,250.1,26.2,27.9,0
2026-07-06T03:30:00,gNB-002,NRCell-005,rural,26,26,25,25,9,8,25,1,41.2,247.9,42.4,6.1,0
2026-07-06T03:30:00,gNB-002,NRCell-006,degraded,72,70,69,69,19,19,69,0,27.6,251.6,30.6,14.0,0
2026-07-06T03:45:00,gNB-001,NRCell-001,urban,98,97,94,94,26,26,94,0,31.5,282.7,34.4,22.4,0
2026-07-06T03:45:00,gNB-001,NRCell-002,suburban,81,79,77,77,20,19,77,0,32.8,266.6,41.4,19.6,0
2026-07-06T03:45:00,gNB-001,NRCell-003,rural,35,34,33,32,13,13,32,0,40.5,252.1,30.9,7.4,0
2026-07-06T03:45:00,gNB-002,NRCell-004,urban,122,121,116,115,43,42,115,1,27.5,260.1,44.8,25.4,0
2026-07-06T03:45:00,gNB-002,NRCell-005,rural,25,24,23,23,6,6,23,0,37.7,273.0,39.0,4.3,0
2026-07-06T03:45:00,gNB-002,NRCell-006,degraded,77,73,70,68,23,22,68,1,31.4,255.8,27.4,10.7,0
2026-07-06T04:00:00,gNB-001,NRCell-001,urban,104,104,99,99,33,31,99,0,30.6,269.5,46.2,22.1,0
2026-07-06T04:00:00,gNB-001,NRCell-002,suburban,88,87,84,83,31,29,83,0,34.3,243.3,36.3,13.3,0
2026-07-06T04:00:00,gNB-001,NRCell-003,rural,35,34,32,32,11,10,32,0,43.9,214.7,38.0,6.7,0
2026-07-06T04:00:00,gNB-002,NRCell-004,urban,131,131,128,128,36,35,128,0,28.9,269.7,37.7,19.3,0
2026-07-06T04:00:00,gNB-002,NRCell-005,rural,30,30,29,29,10,10,29,0,45.2,221.4,29.4,5.8,0
2026-07-06T04:00:00,gNB-002,NRCell-006,degraded,59,57,54,53,14,14,53,1,27.7,253.2,38.4,14.0,0
2026-07-06T04:15:00,gNB-001,NRCell-001,urban,124,123,122,122,51,47,122,1,30.0,278.6,34.2,22.0,0
2026-07-06T04:15:00,gNB-001,NRCell-002,suburban,93,93,92,92,27,25,92,1,34.9,261.8,36.6,14.1,0
2026-07-06T04:15:00,gNB-001,NRCell-003,rural,42,42,40,40,12,10,40,0,42.1,230.2,32.8,9.2,0
2026-07-06T04:15:00,gNB-002,NRCell-004,urban,134,131,126,126,55,53,126,2,28.7,273.1,42.7,22.7,0
2026-07-06T04:15:00,gNB-002,NRCell-005,rural,24,24,23,22,8,7,22,0,44.5,240.1,25.7,4.7,0
2026-07-06T04:15:00,gNB-002,NRCell-006,degraded,86,79,78,75,25,21,75,1,30.4,247.6,25.0,13.5,0
2026-07-06T04:30:00,gNB-001,NRCell-001,urban,104,102,97,97,42,42,97,1,29.1,285.6,32.4,18.7,0
2026-07-06T04:30:00,gNB-001,NRCell-002,suburban,90,89,86,85,33,32,85,0,33.3,260.4,27.4,22.5,0
2026-07-06T04:30:00,gNB-001,NRCell-003,rural,30,30,28,28,10,10,28,0,41.1,219.4,33.3,6.8,0
2026-07-06T04:30:00,gNB-002,NRCell-004,urban,125,124,122,122,49,48,122,0,30.3,251.2,42.3,32.9,0
2026-07-06T04:30:00,gNB-002,NRCell-005,rural,25,25,24,24,9,9,24,0,46.2,248.4,27.4,4.9,0
2026-07-06T04:30:00,gNB-002,NRCell-006,degraded,71,68,66,62,21,20,62,1,31.8,242.1,41.3,13.7,0
2026-07-06T04:45:00,gNB-001,NRCell-001,urban,121,120,115,115,31,31,115,1,33.7,246.1,37.0,18.0,0
2026-07-06T04:45:00,gNB-001,NRCell-002,suburban,100,99,97,97,30,30,97,3,37.8,258.2,39.9,14.4,0
2026-07-06T04:45:00,gNB-001,NRCell-003,rural,36,35,34,34,10,10,34,0,38.5,226.6,36.9,8.1,0
2026-07-06T04:45:00,gNB-002,NRCell-004,urban,137,135,128,128,50,49,128,0,31.9,266.9,42.5,31.2,0
2026-07-06T04:45:00,gNB-002,NRCell-005,rural,27,27,26,26,7,7,26,0,44.9,221.0,24.3,5.7,0
2026-07-06T04:45:00,gNB-002,NRCell-006,degraded,87,82,80,77,36,36,77,2,32.3,279.3,28.6,14.5,0
2026-07-06T05:00:00,gNB-001,NRCell-001,urban,125,124,123,121,51,50,121,2,34.5,117.6,6.9,25.8,0
2026-07-06T05:00:00,gNB-001,NRCell-002,suburban,105,103,101,100,32,32,100,1,37.1,269.1,29.1,21.1,0
2026-07-06T05:00:00,gNB-001,NRCell-003,rural,40,40,39,39,14,14,39,3,43.8,124.8,9.2,7.0,0
2026-07-06T05:00:00,gNB-002,NRCell-004,urban,168,168,166,165,45,44,165,1,33.9,258.1,27.5,29.6,0
2026-07-06T05:00:00,gNB-002,NRCell-005,rural,30,30,29,29,9,9,29,0,46.6,219.6,26.5,6.5,0
2026-07-06T05:00:00,gNB-002,NRCell-006,degraded,102,99,96,89,26,22,89,2,29.9,294.6,39.9,15.8,0
2026-07-06T05:15:00,gNB-001,NRCell-001,urban,152,151,144,142,66,63,142,6,33.9,141.4,7.9,23.8,0
2026-07-06T05:15:00,gNB-001,NRCell-002,suburban,79,79,76,75,24,24,75,0,36.5,241.4,35.8,13.2,0
2026-07-06T05:15:00,gNB-001,NRCell-003,rural,42,41,40,40,15,14,40,1,40.0,123.1,8.9,10.3,0
2026-07-06T05:15:00,gNB-002,NRCell-004,urban,184,183,181,181,81,80,181,1,32.0,275.0,37.9,27.8,0
2026-07-06T05:15:00,gNB-002,NRCell-005,rural,31,31,29,29,10,10,29,1,47.0,222.4,39.2,5.2,0
2026-07-06T05:15:00,gNB-002,NRCell-006,degraded,102,97,95,93,34,34,93,2,29.3,274.6,43.4,16.6,0
2026-07-06T05:30:00,gNB-001,NRCell-001,urban,131,129,128,124,40,39,124,1,35.4,127.3,11.5,34.6,0
2026-07-06T05:30:00,gNB-001,NRCell-002,suburban,97,96,91,90,38,38,90,0,38.0,266.0,37.8,20.2,0
2026-07-06T05:30:00,gNB-001,NRCell-003,rural,52,52,50,50,16,16,50,0,48.6,205.3,34.2,6.8,0
2026-07-06T05:30:00,gNB-002,NRCell-004,urban,146,144,138,135,56,56,135,0,36.1,249.7,34.9,28.2,0
2026-07-06T05:30:00,gNB-002,NRCell-005,rural,26,26,25,24,10,8,24,0,46.8,245.0,26.0,5.5,0
2026-07-06T05:30:00,gNB-002,NRCell-006,degraded,101,99,94,87,28,27,87,0,34.6,245.1,26.8,22.0,0
2026-07-06T05:45:00,gNB-001,NRCell-001,urban,133,131,130,126,39,37,126,1,32.1,145.4,12.9,24.0,0
2026-07-06T05:45:00,gNB-001,NRCell-002,suburban,107,103,101,101,28,28,101,0,35.3,282.0,48.7,24.8,0
2026-07-06T05:45:00,gNB-001,NRCell-003,rural,39,37,36,36,13,13,36,1,49.2,223.8,30.0,8.1,0
2026-07-06T05:45:00,gNB-002,NRCell-004,urban,155,155,149,148,64,63,148,1,32.4,276.7,29.9,31.1,0
2026-07-06T05:45:00,gNB-002,NRCell-005,rural,27,26,25,25,6,6,25,0,41.9,253.7,32.1,5.8,0
2026-07-06T05:45:00,gNB-002,NRCell-006,degraded,118,112,111,109,49,44,109,2,32.8,244.6,38.1,24.6,0
2026-07-06T06:00:00,gNB-001,NRCell-001,urban,147,145,140,138,57,56,138,5,37.7,122.4,7.9,26.9,0
2026-07-06T06:00:00,gNB-001,NRCell-002,suburban,110,110,106,105,43,43,105,1,38.7,255.6,25.7,23.5,0
2026-07-06T06:00:00,gNB-001,NRCell-003,rural,39,39,38,38,11,10,38,0,44.6,220.7,37.4,9.4,0
2026-07-06T06:00:00,gNB-002,NRCell-004,urban,156,155,151,150,56,53,150,2,38.5,257.3,37.3,32.7,0
2026-07-06T06:00:00,gNB-002,NRCell-005,rural,32,32,31,30,11,11,30,0,46.0,215.4,29.5,7.7,0
2026-07-06T06:00:00,gNB-002,NRCell-006,degraded,93,90,85,82,34,32,82,2,34.5,255.2,33.7,21.8,0
2026-07-06T06:15:00,gNB-001,NRCell-001,urban,135,134,131,129,59,58,129,0,39.6,131.5,10.1,23.0,0
2026-07-06T06:15:00,gNB-001,NRCell-002,suburban,94,93,88,88,31,31,88,3,36.8,237.0,32.4,24.3,0
2026-07-06T06:15:00,gNB-001,NRCell-003,rural,37,36,34,34,16,16,34,1,47.7,231.0,29.6,6.8,0
2026-07-06T06:15:00,gNB-002,NRCell-004,urban,181,176,173,169,68,64,169,0,33.1,243.9,43.1,48.8,0
2026-07-06T06:15:00,gNB-002,NRCell-005,rural,32,30,29,28,10,10,28,0,46.0,228.6,35.0,6.5,0
2026-07-06T06:15:00,gNB-002,NRCell-006,degraded,114,108,104,101,40,37,101,2,37.1,268.0,27.9,22.6,0
2026-07-06T06:30:00,gNB-001,NRCell-001,urban,192,192,185,183,63,60,183,0,36.7,124.2,6.5,33.1,0
2026-07-06T06:30:00,gNB-001,NRCell-002,suburban,113,113,109,107,43,43,107,1,44.5,225.7,27.6,26.6,0
2026-07-06T06:30:00,gNB-001,NRCell-003,rural,44,42,41,41,16,16,41,0,43.1,215.2,22.5,10.4,0
2026-07-06T06:30:00,gNB-002,NRCell-004,urban,215,213,212,211,71,70,211,2,38.8,260.2,27.0,36.0,0
2026-07-06T06:30:00,gNB-002,NRCell-005,rural,31,30,29,29,12,12,29,0,49.7,201.5,23.6,6.7,0
2026-07-06T06:30:00,gNB-002,NRCell-006,degraded,108,103,102,100,33,30,100,1,38.4,226.4,34.3,17.6,0
2026-07-06T06:45:00,gNB-001,NRCell-001,urban,171,169,160,160,62,60,160,1,38.7,130.2,9.6,36.4,0
2026-07-06T06:45:00,gNB-001,NRCell-002,suburban,118,116,113,112,39,38,112,1,47.2,237.9,41.9,24.8,0
2026-07-06T06:45:00,gNB-001,NRCell-003,rural,47,46,45,43,16,10,43,2,51.7,210.9,24.7,7.3,0
2026-07-06T06:45:00,gNB-002,NRCell-004,urban,216,215,213,212,88,85,212,4,36.3,269.9,45.3,41.7,0
2026-07-06T06:45:00,gNB-002,NRCell-005,rural,37,36,35,34,9,9,34,0,50.4,223.8,33.0,8.6,0
2026-07-06T06:45:00,gNB-002,NRCell-006,degraded,129,123,119,112,53,51,112,1,43.5,223.2,24.1,24.8,0
2026-07-06T07:00:00,gNB-001,NRCell-001,urban,175,175,171,170,48,48,170,1,45.3,250.7,43.5,42.0,0
2026-07-06T07:00:00,gNB-001,NRCell-002,suburban,137,137,135,134,45,44,134,0,46.0,215.4,31.1,32.7,0
2026-07-06T07:00:00,gNB-001,NRCell-003,rural,43,43,41,41,16,14,41,2,56.3,220.7,26.7,9.3,0
2026-07-06T07:00:00,gNB-002,NRCell-004,urban,211,210,205,205,83,81,205,2,45.6,227.7,38.6,43.3,0
2026-07-06T07:00:00,gNB-002,NRCell-005,rural,41,41,39,38,15,15,38,0,46.1,217.0,23.8,5.7,0
2026-07-06T07:00:00,gNB-002,NRCell-006,degraded,123,117,114,112,50,45,112,0,38.5,271.0,48.2,31.0,0
2026-07-06T07:15:00,gNB-001,NRCell-001,urban,184,182,177,174,56,53,174,0,44.4,255.6,44.6,33.6,0
2026-07-06T07:15:00,gNB-001,NRCell-002,suburban,139,136,134,133,59,59,133,1,42.3,239.4,24.3,33.3,0
2026-07-06T07:15:00,gNB-001,NRCell-003,rural,40,40,39,39,11,10,39,0,49.9,207.9,32.5,7.8,0
2026-07-06T07:15:00,gNB-002,NRCell-004,urban,297,295,294,292,102,100,292,1,40.3,259.4,33.0,59.1,0
2026-07-06T07:15:00,gNB-002,NRCell-005,rural,35,35,34,34,12,12,34,0,48.8,205.4,25.9,9.1,0
2026-07-06T07:15:00,gNB-002,NRCell-006,degraded,164,155,151,143,41,40,143,2,39.7,237.1,38.3,26.6,0
2026-07-06T07:30:00,gNB-001,NRCell-001,urban,198,198,195,193,78,76,193,1,40.8,262.1,29.1,44.5,0
2026-07-06T07:30:00,gNB-001,NRCell-002,suburban,123,122,121,120,49,49,120,0,46.7,207.9,32.2,31.1,0
2026-07-06T07:30:00,gNB-001,NRCell-003,rural,61,57,54,53,15,13,53,2,54.0,212.2,35.4,9.3,0
2026-07-06T07:30:00,gNB-002,NRCell-004,urban,251,247,239,235,74,73,235,1,44.9,220.0,30.9,58.7,0
2026-07-06T07:30:00,gNB-002,NRCell-005,rural,35,35,33,33,14,14,33,0,60.7,198.4,29.6,6.1,0
2026-07-06T07:30:00,gNB-002,NRCell-006,degraded,123,119,116,114,36,35,114,5,42.3,224.3,34.3,35.6,0
2026-07-06T07:45:00,gNB-001,NRCell-001,urban,225,224,222,221,73,72,221,2,51.8,219.4,31.6,44.4,0
2026-07-06T07:45:00,gNB-001,NRCell-002,suburban,134,132,129,126,57,57,126,1,46.5,240.6,30.6,28.9,0
2026-07-06T07:45:00,gNB-001,NRCell-003,rural,49,46,45,45,17,13,45,2,56.0,220.9,25.5,8.0,0
2026-07-06T07:45:00,gNB-002,NRCell-004,urban,294,289,281,279,128,127,279,4,52.6,216.2,35.2,71.9,0
2026-07-06T07:45:00,gNB-002,NRCell-005,rural,42,42,40,40,15,15,40,0,56.7,212.0,27.5,8.6,0
2026-07-06T07:45:00,gNB-002,NRCell-006,degraded,132,127,122,121,55,51,121,4,44.6,214.3,31.9,31.7,0
2026-07-06T08:00:00,gNB-001,NRCell-001,urban,249,248,244,243,80,80,243,1,47.7,247.2,30.5,66.0,0
2026-07-06T08:00:00,gNB-001,NRCell-002,suburban,153,152,148,147,49,49,147,2,46.9,216.5,29.3,26.9,0
2026-07-06T08:00:00,gNB-001,NRCell-003,rural,51,51,50,50,16,11,50,3,64.5,199.6,34.9,8.8,0
2026-07-06T08:00:00,gNB-002,NRCell-004,urban,304,301,298,295,112,111,295,2,54.0,218.9,35.5,51.7,0
2026-07-06T08:00:00,gNB-002,NRCell-005,rural,47,44,42,42,12,12,42,0,63.2,171.3,24.4,7.6,0
2026-07-06T08:00:00,gNB-002,NRCell-006,degraded,170,169,163,159,71,66,159,2,45.3,214.4,26.1,38.5,0
2026-07-06T08:15:00,gNB-001,NRCell-001,urban,250,248,245,244,87,86,244,1,56.5,195.2,33.2,56.1,0
2026-07-06T08:15:00,gNB-001,NRCell-002,suburban,153,153,152,151,68,66,151,1,52.5,216.5,25.2,29.4,0
2026-07-06T08:15:00,gNB-001,NRCell-003,rural,65,62,59,59,23,17,59,2,55.3,222.6,25.6,10.5,0
2026-07-06T08:15:00,gNB-002,NRCell-004,urban,306,305,294,291,130,127,291,1,49.1,224.6,30.2,48.8,0
2026-07-06T08:15:00,gNB-002,NRCell-005,rural,45,45,43,43,18,18,43,0,54.1,229.9,33.8,9.7,0
2026-07-06T08:15:00,gNB-002,NRCell-006,degraded,143,141,136,133,55,51,133,7,56.7,199.3,27.8,33.8,0
2026-07-06T08:30:00,gNB-001,NRCell-001,urban,247,244,235,233,61,59,233,1,54.1,190.9,20.6,51.7,0
2026-07-06T08:30:00,gNB-001,NRCell-002,suburban,196,196,194,192,82,79,192,1,53.0,197.5,20.4,37.0,0
2026-07-06T08:30:00,gNB-001,NRCell-003,rural,73,71,70,68,30,22,68,1,67.3,171.8,20.2,16.2,0
2026-07-06T08:30:00,gNB-002,NRCell-004,urban,307,305,290,288,122,120,288,2,58.0,202.0,25.7,58.4,0
2026-07-06T08:30:00,gNB-002,NRCell-005,rural,48,48,45,45,16,16,45,1,65.2,196.8,30.9,7.7,0
2026-07-06T08:30:00,gNB-002,NRCell-006,degraded,176,168,163,158,59,53,158,1,50.1,214.1,25.8,46.5,0
2026-07-06T08:45:00,gNB-001,NRCell-001,urban,287,286,274,271,115,111,271,1,58.3,192.5,19.3,46.2,0
2026-07-06T08:45:00,gNB-001,NRCell-002,suburban,193,190,184,181,55,54,181,1,57.3,213.4,21.8,34.2,0
2026-07-06T08:45:00,gNB-001,NRCell-003,rural,64,59,57,56,25,19,56,0,65.9,192.7,29.0,12.5,0
2026-07-06T08:45:00,gNB-002,NRCell-004,urban,385,382,370,365,114,111,365,2,63.1,190.7,27.2,90.4,0
2026-07-06T08:45:00,gNB-002,NRCell-005,rural,52,52,50,50,16,16,50,0,62.7,174.5,27.1,11.6,0
