rop_start,registration_sr_pct,auth_sr_pct,pdu_session_creation_sr_pct,active_pdu_sessions,registration_attempts
2026-07-06T14:15:00,98.75,99.44,99.42,4317,2152
2026-07-06T14:30:00,98.99,99.68,99.5,4754,2470
2026-07-06T14:45:00,98.82,99.63,99.61,4927,2462
2026-07-06T15:00:00,99.3,99.8,99.52,5187,2561
2026-07-06T15:15:00,98.91,99.71,99.51,5485,2755
2026-07-06T15:30:00,98.56,99.54,99.72,5190,2158
2026-07-06T15:45:00,98.98,99.71,99.46,5442,2747
2026-07-06T16:00:00,99.46,99.78,99.69,5601,2754
2026-07-06T16:15:00,99.44,99.72,99.32,5847,2881
2026-07-06T16:30:00,99.48,99.81,99.69,5797,2679
2026-07-06T16:45:00,99.34,99.93,99.44,5890,2742
2026-07-06T17:00:00,99.32,99.64,99.5,5695,2518
2026-07-06T17:15:00,99.11,99.57,99.47,5619,2579
2026-07-06T17:30:00,99.26,99.61,99.55,5556,2585
2026-07-06T17:45:00,99.42,99.87,99.45,5296,2248
2026-07-06T18:00:00,99.0,99.64,99.25,4370,1400
2026-07-06T18:15:00,99.55,99.55,99.18,3607,1117
2026-07-06T18:30:00,99.27,99.8,99.86,3433,1498
2026-07-06T18:45:00,99.46,99.77,99.61,3217,1301
2026-07-06T19:00:00,99.28,99.67,99.71,3474,1802
2026-07-06T19:15:00,99.51,99.73,99.5,4063,2256
2026-07-06T19:30:00,99.38,99.64,99.68,4137,1948
2026-07-06T19:45:00,99.18,99.66,99.56,4321,2081
2026-07-06T20:00:00,99.35,99.67,99.23,4219,1842
2026-07-06T20:15:00,99.16,99.58,99.63,3969,1664
2026-07-06T20:30:00,99.51,99.63,99.61,3772,1617
2026-07-06T20:45:00,99.47,99.8,99.33,3603,1520
2026-07-06T21:00:00,99.14,99.74,99.66,3497,1516
2026-07-06T21:15:00,99.45,99.59,99.35,3328,1453
2026-07-06T21:30:00,99.52,99.79,99.17,3289,1457
2026-07-06T21:45:00,99.52,99.68,99.67,3071,1253
2026-07-06T22:00:00,99.1,99.67,99.41,2899,1227
2026-07-06T22:15:00,99.61,99.9,99.6,2634,1035
2026-07-06T22:30:00,99.39,99.69,99.35,2410,977
2026-07-06T22:45:00,99.48,99.9,99.48,2300,964
2026-07-06T23:00:00,99.18,99.41,99.88,2137,850
2026-07-06T23:15:00,99.45,99.89,99.44,2076,905
2026-07-06T23:30:00,99.33,99.55,99.77,2014,898
2026-07-06T23:45:00,98.86,99.75,99.61,1900,787
2026-07-07T00:00:00,99.87,99.87,99.73,1803,751
2026-07-07T00:15:00,99.02,99.86,99.41,1693,711
2026-07-07T00:30:00,99.05,99.53,99.68,1573,632
2026-07-07T00:45:00,98.56,99.42,99.25,1543,694
2026-07-07T01:00:00,99.37,99.84,99.2,1483,632
2026-07-07T01:15:00,99.18,99.8,99.38,1321,490
2026-07-07T01:30:00,99.46,100.0,99.28,1288,559
2026-07-07T01:45:00,99.62,99.81,99.6,1221,529
2026-07-07T02:00:00,99.16,99.79,100.0,1140,478
2026-07-07T02:15:00,99.29,99.82,98.92,1177,560
2026-07-07T02:30:00,99.09,99.77,99.05,1080,440
2026-07-07T02:45:00,98.94,99.58,99.33,1046,473
2026-07-07T03:00:00,99.0,99.75,99.74,977,401
2026-07-07T03:15:00,99.39,99.8,99.58,1016,490
2026-07-07T03:30:00,99.51,100.0,99.5,970,408
2026-07-07T03:45:00,98.54,99.38,99.78,991,481
2026-07-07T04:00:00,100.0,100.0,99.64,1099,568
2026-07-07T04:15:00,98.94,99.74,98.33,978,379
2026-07-07T04:30:00,99.58,100.0,99.36,1009,475
2026-07-07T04:45:00,98.88,99.1,99.31,992,445
2026-07-07T05:00:00,99.04,99.24,99.42,1055,523
2026-07-07T05:15:00,98.94,99.79,99.56,1037,471
2026-07-07T05:30:00,99.78,100.0,98.91,1030,462
2026-07-07T05:45:00,99.25,99.81,99.61,1073,533
2026-07-07T06:00:00,99.05,99.81,99.4,1089,527
2026-07-07T06:15:00,100.0,100.0,100.0,815,187
2026-07-07T06:30:00,99.85,99.85,99.53,1056,655
2026-07-07T06:45:00,99.62,99.62,99.61,1096,530
2026-07-07T07:00:00,98.62,99.31,99.46,1153,578
2026-07-07T07:15:00,99.37,100.0,99.34,1230,637
2026-07-07T07:30:00,99.37,99.84,99.52,1301,635
2026-07-07T07:45:00,99.7,100.0,99.55,1375,667
2026-07-07T08:00:00,99.3,99.88,99.51,1553,858
2026-07-07T08:15:00,99.1,99.85,99.69,1503,663
2026-07-07T08:30:00,98.91,99.39,99.01,1623,825
2026-07-07T08:45:00,98.95,99.3,100.0,1711,855
2026-07-07T09:00:00,99.0,99.6,99.06,1883,1004
2026-07-07T09:15:00,99.14,99.75,99.5,1843,814
2026-07-07T09:30:00,98.73,99.58,99.48,2129,1184
2026-07-07T09:45:00,99.07,99.66,98.97,2313,1182
2026-07-07T10:00:00,99.41,99.75,99.74,2414,1191
2026-07-07T10:15:00,99.39,99.83,99.91,2427,1144
2026-07-07T10:30:00,99.4,99.85,99.53,2596,1333
2026-07-07T10:45:00,99.33,99.6,99.66,2891,1503
2026-07-07T11:00:00,99.32,99.75,99.48,3122,1606
2026-07-07T11:15:00,99.03,99.58,99.71,3109,1442
2026-07-07T11:30:00,99.15,99.63,99.51,3504,1875
2026-07-07T11:45:00,99.34,99.6,99.66,3439,1504
2026-07-07T12:00:00,99.12,99.67,99.56,3674,1826
2026-07-07T12:15:00,99.4,99.58,99.58,3682,1680
2026-07-07T12:30:00,99.21,99.85,99.58,3925,2032
2026-07-07T12:45:00,99.18,99.52,99.51,4165,2083
2026-07-07T13:00:00,99.12,99.77,93.89,3923,1704
2026-07-07T13:15:00,98.82,99.56,93.56,4041,2030
2026-07-07T13:30:00,99.28,99.76,99.35,4208,2079
2026-07-07T13:45:00,99.24,99.58,99.47,4555,2384
2026-07-07T14:00:00,99.34,99.71,99.61,4798,2410
2026-07-07T14:15:00,99.51,99.8,99.48,4611,2035
2026-07-07T14:30:00,99.21,99.68,99.32,4620,2161
2026-07-07T14:45:00,99.11,99.61,99.64,5007,2577
2026-07-07T15:00:00,99.24,99.66,99.72,5244,2639
2026-07-07T15:15:00,99.01,99.78,99.6,5172,2322
2026-07-07T15:30:00,99.3,99.83,99.54,5232,2414
2026-07-07T15:45:00,99.13,99.55,99.61,5666,2890
2026-07-07T16:00:00,99.37,99.72,99.5,5563,2528
2026-07-07T16:15:00,99.57,99.83,98.87,5314,2337
2026-07-07T16:30:00,99.12,99.54,98.44,5570,2837
2026-07-07T16:45:00,99.54,99.85,98.01,5562,2605
2026-07-07T17:00:00,99.11,99.64,98.33,5459,2476
2026-07-07T17:15:00,98.93,99.63,98.16,5629,2701
2026-07-07T17:30:00,99.22,99.66,98.72,5109,2055
2026-07-07T17:45:00,99.38,99.78,98.92,5460,2739
2026-07-07T18:00:00,99.48,99.83,98.2,5243,2287
2026-07-07T18:15:00,99.46,99.73,98.19,5390,2598
2026-07-07T18:30:00,99.45,99.86,98.23,5079,2185
2026-07-07T18:45:00,99.51,99.84,98.43,4630,1842
2026-07-07T19:00:00,99.19,99.47,98.43,4861,2460
2026-07-07T19:15:00,99.21,99.55,98.63,4410,1770
2026-07-07T19:30:00,99.43,99.66,98.48,4158,1756
2026-07-07T19:45:00,99.17,99.59,98.13,3955,1695
2026-07-07T20:00:00,99.47,99.88,98.79,3837,1696
2026-07-07T20:15:00,99.32,99.75,99.3,3699,1628
2026-07-07T20:30:00,99.48,100.0,99.27,3568,1528
2026-07-07T20:45:00,99.49,99.8,99.58,3829,1959
2026-07-07T21:00:00,98.82,99.21,99.73,3633,1525
2026-07-07T21:15:00,99.5,99.81,99.55,3575,1596
2026-07-07T21:30:00,99.6,99.92,99.34,3225,1238
2026-07-07T21:45:00,99.51,99.67,99.34,3012,1221
2026-07-07T22:00:00,99.25,99.58,99.3,2824,1203
2026-07-07T22:15:00,99.16,99.66,99.14,2737,1188
2026-07-07T22:30:00,99.41,99.66,98.78,2663,1180
2026-07-07T22:45:00,98.82,99.41,99.27,2333,850
2026-07-07T23:00:00,99.41,99.7,99.9,2272,1016
2026-07-07T23:15:00,99.3,99.7,99.27,2220,996
2026-07-07T23:30:00,99.54,99.85,99.36,1893,651
2026-07-07T23:45:00,99.56,100.0,99.24,1724,687
2026-07-08T00:00:00,99.47,99.73,99.3,1677,753
2026-07-08T00:15:00,99.7,99.85,99.53,1579,671
2026-07-08T00:30:00,99.68,99.84,99.51,1500,631
2026-07-08T00:45:00,98.88,99.68,99.67,1440,625
2026-07-08T01:00:00,99.09,99.7,99.38,1445,657
2026-07-08T01:15:00,98.87,99.81,99.61,1323,532
2026-07-08T01:30:00,99.2,99.6,99.37,1220,500
2026-07-08T01:45:00,99.54,99.77,99.76,1112,432
2026-07-08T02:00:00,99.16,99.5,99.12,1174,596
2026-07-08T02:15:00,99.15,99.43,99.7,1002,351
2026-07-08T02:30:00,99.56,100.0,99.78,1010,459
2026-07-08T02:45:00,99.36,99.79,99.55,1006,472
2026-07-08T03:00:00,98.92,99.57,100.0,1005,464
2026-07-08T03:15:00,99.8,100.0,99.6,1049,503
2026-07-08T03:30:00,99.31,99.54,99.76,998,433
2026-07-08T03:45:00,99.31,99.31,99.3,983,434
2026-07-08T04:00:00,99.77,100.0,99.3,971,440
2026-07-08T04:15:00,99.4,100.0,99.79,1007,501
2026-07-08T04:30:00,99.38,100.0,99.57,1018,484
2026-07-08T04:45:00,98.91,99.35,100.0,1018,459
2026-07-08T05:00:00,100.0,100.0,99.25,967,404
2026-07-08T05:15:00,100.0,100.0,98.5,935,413
2026-07-08T05:30:00,99.47,100.0,100.0,1056,565
2026-07-08T05:45:00,99.78,100.0,99.55,1034,449
2026-07-08T06:00:00,99.59,99.8,99.36,1039,488
2026-07-08T06:15:00,99.48,99.66,99.65,1130,580
2026-07-08T06:30:00,99.48,100.0,99.12,1183,575
2026-07-08T06:45:00,99.52,99.84,99.51,1261,629
2026-07-08T07:00:00,99.52,99.68,99.67,1299,624
2026-07-08T07:15:00,100.0,100.0,99.68,1348,637
2026-07-08T07:30:00,99.22,100.0,99.84,1356,637
2026-07-08T07:45:00,99.5,99.75,99.62,1521,794
2026-07-08T08:00:00,98.74,99.37,99.35,1598,796
2026-07-08T08:15:00,99.66,99.89,99.52,1713,874
2026-07-08T08:30:00,98.99,99.57,99.7,1634,693
2026-07-08T08:45:00,99.46,100.0,99.45,1797,923
2026-07-08T09:00:00,99.32,99.83,99.46,2072,1172
2026-07-08T09:15:00,99.13,99.62,99.42,2163,1040
2026-07-08T09:30:00,99.66,99.74,99.74,2328,1176
2026-07-08T09:45:00,99.41,99.83,99.57,2432,1195
2026-07-08T10:00:00,99.56,99.74,99.11,2458,1144
2026-07-08T10:15:00,98.79,99.22,99.37,2461,1153
2026-07-08T10:30:00,99.6,99.92,99.59,2581,1252
2026-07-08T10:45:00,99.21,99.69,99.17,2625,1272
2026-07-08T11:00:00,99.44,99.86,99.63,2799,1419
2026-07-08T11:15:00,99.76,99.88,99.87,3106,1671
2026-07-08T11:30:00,99.41,99.73,99.38,3448,1853
2026-07-08T11:45:00,99.64,99.94,99.68,3492,1660
2026-07-08T12:00:00,99.84,99.95,99.4,3737,1865
2026-07-08T12:15:00,99.18,99.66,99.55,4015,2081
2026-07-08T12:30:00,98.94,99.44,99.28,3772,1608
2026-07-08T12:45:00,99.37,99.77,99.29,3770,1746
2026-07-08T13:00:00,99.41,99.7,99.45,4365,2370
2026-07-08T13:15:00,99.34,99.67,99.7,4419,2122
2026-07-08T13:30:00,99.29,99.78,99.59,4637,2258
2026-07-08T13:45:00,99.43,99.77,99.49,5052,2642
2026-07-08T14:00:00,99.29,99.75,99.7,5156,2406
2026-07-08T14:15:00,99.51,99.69,99.53,4992,2227
2026-07-08T14:30:00,99.46,99.77,99.36,4939,2213
2026-07-08T14:45:00,99.34,99.69,99.41,5230,2590
2026-07-08T15:00:00,99.18,99.77,99.47,5330,2574
2026-07-08T15:15:00,99.0,99.5,99.25,5232,2398
2026-07-08T15:30:00,99.15,99.65,99.11,5534,2817
2026-07-08T15:45:00,99.33,99.62,99.6,5129,2100
2026-07-08T16:00:00,99.18,99.49,99.24,5322,2555
2026-07-08T16:15:00,99.46,99.86,99.53,5080,2207
2026-07-08T16:30:00,99.27,99.57,99.6,5275,2588
2026-07-08T16:45:00,99.26,99.65,99.56,5186,2285
2026-07-08T17:00:00,99.23,99.48,99.28,5223,2483
2026-07-08T17:15:00,99.12,99.68,99.75,5622,2826
2026-07-08T17:30:00,99.27,99.77,99.49,5301,2184
2026-07-08T17:45:00,99.29,99.83,99.28,5297,2411
2026-07-08T18:00:00,99.3,99.67,99.76,5047,2135
2026-07-08T18:15:00,99.26,99.58,99.47,4901,2153
2026-07-08T18:30:00,99.42,99.78,99.4,4893,2259
2026-07-08T18:45:00,99.54,99.83,99.53,5043,2404
2026-07-08T19:00:00,99.32,99.69,99.47,4715,1919
2026-07-08T19:15:00,99.44,99.85,99.43,4546,1977
2026-07-08T19:30:00,99.32,99.82,99.54,4101,1623
2026-07-08T19:45:00,99.29,99.67,99.33,4072,1824
2026-07-08T20:00:00,98.99,99.3,99.4,3781,1582
2026-07-08T20:15:00,99.27,99.83,99.47,3782,1790
2026-07-08T20:30:00,99.17,99.54,99.15,3214,1083
2026-07-08T20:45:00,99.03,99.59,99.58,3001,1231
2026-07-08T21:00:00,99.27,99.85,99.69,2964,1375
2026-07-08T21:15:00,97.26,99.76,99.75,2857,1243
2026-07-08T21:30:00,96.47,99.83,99.56,2727,1190
2026-07-08T21:45:00,96.45,99.77,99.34,2727,1325
2026-07-08T22:00:00,96.21,99.44,99.12,2655,1241
2026-07-08T22:15:00,95.53,99.89,99.65,2362,917
2026-07-08T22:30:00,99.33,99.71,99.7,2322,1046
2026-07-08T22:45:00,99.41,99.7,99.49,2262,1009
2026-07-08T23:00:00,98.41,99.2,99.64,2109,879
2026-07-08T23:15:00,99.68,99.89,99.34,2077,947
2026-07-08T23:30:00,99.22,99.89,99.18,2012,898
2026-07-08T23:45:00,99.5,99.63,99.23,1907,807
