timestamp,trace_id,supi,nf,event_type,result,detail
2026-07-06T01:08:05.802,a5e2fc7bb2,imsi-999700701098963,smf,PDU_SESSION,OK,10.45.0.150
2026-07-06T01:08:31.917,a5e1e6f511,imsi-999705408940110,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:08:31.942,a5e1e6f511,imsi-999705408940110,ausf,AUTHENTICATION,OK,
2026-07-06T01:08:31.961,a5e1e6f511,imsi-999705408940110,amf,REGISTRATION,OK,
2026-07-06T01:08:32.041,a5e1e6f511,imsi-999705408940110,smf,PDU_SESSION,OK,10.45.0.8
2026-07-06T01:08:48.573,8f82934fa4,imsi-999702551854053,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:08:48.588,8f82934fa4,imsi-999702551854053,ausf,AUTHENTICATION,OK,
2026-07-06T01:08:48.608,8f82934fa4,imsi-999702551854053,amf,REGISTRATION,OK,
2026-07-06T01:08:48.688,8f82934fa4,imsi-999702551854053,smf,PDU_SESSION,OK,10.45.0.36
2026-07-06T01:10:59.201,ca239b9043,imsi-999703110282253,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:10:59.218,ca239b9043,imsi-999703110282253,ausf,AUTHENTICATION,OK,
2026-07-06T01:10:59.247,ca239b9043,imsi-999703110282253,amf,REGISTRATION,OK,
2026-07-06T01:10:59.299,ca239b9043,imsi-999703110282253,smf,PDU_SESSION,OK,10.45.0.82
2026-07-06T01:13:03.384,8f8dab98ab,imsi-999709175915524,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:13:03.408,8f8dab98ab,imsi-999709175915524,ausf,AUTHENTICATION,OK,
2026-07-06T01:13:03.446,8f8dab98ab,imsi-999709175915524,amf,REGISTRATION,OK,
2026-07-06T01:13:03.625,8f8dab98ab,imsi-999709175915524,smf,PDU_SESSION,OK,10.45.0.160
2026-07-06T01:19:51.216,1b7f350194,imsi-999703399572916,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:19:51.236,1b7f350194,imsi-999703399572916,ausf,AUTHENTICATION,OK,
2026-07-06T01:19:51.247,1b7f350194,imsi-999703399572916,amf,REGISTRATION,OK,
2026-07-06T01:19:51.369,1b7f350194,imsi-999703399572916,smf,PDU_SESSION,OK,10.45.0.187
2026-07-06T01:23:00.806,9fae93af9b,imsi-999706053314002,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:23:00.836,9fae93af9b,imsi-999706053314002,ausf,AUTHENTICATION,OK,
2026-07-06T01:23:00.850,9fae93af9b,imsi-999706053314002,amf,REGISTRATION,OK,
2026-07-06T01:23:01.009,9fae93af9b,imsi-999706053314002,smf,PDU_SESSION,OK,10.45.0.49
2026-07-06T01:23:36.805,1a83396505,imsi-999700932570002,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:23:36.823,1a83396505,imsi-999700932570002,ausf,AUTHENTICATION,OK,
2026-07-06T01:23:36.856,1a83396505,imsi-999700932570002,amf,REGISTRATION,OK,
2026-07-06T01:23:37.020,1a83396505,imsi-999700932570002,smf,PDU_SESSION,OK,10.45.0.233
2026-07-06T01:24:42.334,1d3b007f88,imsi-999704102106701,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:24:42.346,1d3b007f88,imsi-999704102106701,ausf,AUTHENTICATION,OK,
2026-07-06T01:24:42.371,1d3b007f88,imsi-999704102106701,amf,REGISTRATION,OK,
2026-07-06T01:24:42.561,1d3b007f88,imsi-999704102106701,smf,PDU_SESSION,OK,10.45.0.79
2026-07-06T01:25:18.965,c4744be43e,imsi-999707364699992,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:25:18.985,c4744be43e,imsi-999707364699992,ausf,AUTHENTICATION,OK,
2026-07-06T01:25:19.020,c4744be43e,imsi-999707364699992,amf,REGISTRATION,OK,
2026-07-06T01:25:19.170,c4744be43e,imsi-999707364699992,smf,PDU_SESSION,OK,10.45.0.172
2026-07-06T01:30:45.977,9fb3c9c537,imsi-999706932859510,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:30:45.995,9fb3c9c537,imsi-999706932859510,ausf,AUTHENTICATION,OK,
2026-07-06T01:30:46.034,9fb3c9c537,imsi-999706932859510,amf,REGISTRATION,OK,
2026-07-06T01:30:46.175,9fb3c9c537,imsi-999706932859510,smf,PDU_SESSION,OK,10.45.0.188
2026-07-06T01:33:36.954,d690aac4bb,imsi-999703503233656,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:33:36.966,d690aac4bb,imsi-999703503233656,ausf,AUTHENTICATION,OK,
2026-07-06T01:33:36.997,d690aac4bb,imsi-999703503233656,amf,REGISTRATION,OK,
2026-07-06T01:33:37.080,d690aac4bb,imsi-999703503233656,smf,PDU_SESSION,OK,10.45.0.20
2026-07-06T01:39:43.541,2a8e8b95b5,imsi-999708208118734,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:39:43.557,2a8e8b95b5,imsi-999708208118734,ausf,AUTHENTICATION,OK,
2026-07-06T01:39:43.567,2a8e8b95b5,imsi-999708208118734,amf,REGISTRATION,OK,
2026-07-06T01:39:43.692,2a8e8b95b5,imsi-999708208118734,smf,PDU_SESSION,OK,10.45.0.197
2026-07-06T01:39:57.559,3b9e77cde2,imsi-999709955212714,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:39:57.573,3b9e77cde2,imsi-999709955212714,ausf,AUTHENTICATION,OK,
2026-07-06T01:39:57.613,3b9e77cde2,imsi-999709955212714,amf,REGISTRATION,OK,
2026-07-06T01:39:57.753,3b9e77cde2,imsi-999709955212714,smf,PDU_SESSION,OK,10.45.0.180
2026-07-06T01:41:10.597,54d0152469,imsi-999707272559347,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:41:10.622,54d0152469,imsi-999707272559347,ausf,AUTHENTICATION,OK,
2026-07-06T01:41:10.640,54d0152469,imsi-999707272559347,amf,REGISTRATION,OK,
2026-07-06T01:41:10.837,54d0152469,imsi-999707272559347,smf,PDU_SESSION,OK,10.45.0.217
2026-07-06T01:48:49.257,3dca3ddac6,imsi-999700925297040,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:48:49.266,3dca3ddac6,imsi-999700925297040,ausf,AUTHENTICATION,OK,
2026-07-06T01:48:49.291,3dca3ddac6,imsi-999700925297040,amf,REGISTRATION,OK,
2026-07-06T01:48:49.351,3dca3ddac6,imsi-999700925297040,smf,PDU_SESSION,OK,10.45.0.227
2026-07-06T01:53:09.538,186c8f977f,imsi-999700705578438,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:53:09.553,186c8f977f,imsi-999700705578438,ausf,AUTHENTICATION,OK,
2026-07-06T01:53:09.564,186c8f977f,imsi-999700705578438,amf,REGISTRATION,OK,
2026-07-06T01:53:09.701,186c8f977f,imsi-999700705578438,smf,PDU_SESSION,OK,10.45.0.244
2026-07-06T01:55:19.050,e38f79b464,imsi-999707868015640,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:55:19.069,e38f79b464,imsi-999707868015640,ausf,AUTHENTICATION,OK,
2026-07-06T01:55:19.084,e38f79b464,imsi-999707868015640,amf,REGISTRATION,OK,
2026-07-06T01:55:19.226,e38f79b464,imsi-999707868015640,smf,PDU_SESSION,OK,10.45.0.156
2026-07-06T01:56:16.521,e47b08a388,imsi-999707685058107,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:56:16.531,e47b08a388,imsi-999707685058107,ausf,AUTHENTICATION,OK,
2026-07-06T01:56:16.544,e47b08a388,imsi-999707685058107,amf,REGISTRATION,OK,
2026-07-06T01:56:16.690,e47b08a388,imsi-999707685058107,smf,PDU_SESSION,OK,10.45.0.140
2026-07-06T01:57:22.706,e458cddf21,imsi-999709202438383,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:57:22.724,e458cddf21,imsi-999709202438383,ausf,AUTHENTICATION,OK,
2026-07-06T01:57:22.737,e458cddf21,imsi-999709202438383,amf,REGISTRATION,OK,
2026-07-06T01:57:22.895,e458cddf21,imsi-999709202438383,smf,PDU_SESSION,OK,10.45.0.34
2026-07-06T02:00:16.980,e6d4bc5568,imsi-999707252984162,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:00:16.990,e6d4bc5568,imsi-999707252984162,ausf,AUTHENTICATION,OK,
2026-07-06T02:00:17.009,e6d4bc5568,imsi-999707252984162,amf,REGISTRATION,OK,
2026-07-06T02:00:17.098,e6d4bc5568,imsi-999707252984162,smf,PDU_SESSION,OK,10.45.0.179
2026-07-06T02:07:25.805,71a5a92242,imsi-999700800551432,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:07:25.823,71a5a92242,imsi-999700800551432,ausf,AUTHENTICATION,OK,
2026-07-06T02:07:25.863,71a5a92242,imsi-999700800551432,amf,REGISTRATION,OK,
2026-07-06T02:07:25.965,71a5a92242,imsi-999700800551432,smf,PDU_SESSION,OK,10.45.0.114
2026-07-06T02:10:33.558,b24c705c0d,imsi-999706830716456,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:10:33.569,b24c705c0d,imsi-999706830716456,ausf,AUTHENTICATION,OK,
2026-07-06T02:10:33.580,b24c705c0d,imsi-999706830716456,amf,REGISTRATION,OK,
2026-07-06T02:10:33.685,b24c705c0d,imsi-999706830716456,smf,PDU_SESSION,OK,10.45.0.152
2026-07-06T02:10:53.636,0c22b1260e,imsi-999706495704463,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:10:53.652,0c22b1260e,imsi-999706495704463,ausf,AUTHENTICATION,OK,
2026-07-06T02:10:53.683,0c22b1260e,imsi-999706495704463,amf,REGISTRATION,OK,
2026-07-06T02:10:53.780,0c22b1260e,imsi-999706495704463,smf,PDU_SESSION,OK,10.45.0.143
2026-07-06T02:24:12.748,176d73bc7e,imsi-999708908936099,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:24:12.772,176d73bc7e,imsi-999708908936099,ausf,AUTHENTICATION,OK,
2026-07-06T02:24:12.795,176d73bc7e,imsi-999708908936099,amf,REGISTRATION,OK,
2026-07-06T02:24:12.905,176d73bc7e,imsi-999708908936099,smf,PDU_SESSION,OK,10.45.0.80
2026-07-06T02:25:10.786,2f6af23623,imsi-999702668071898,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:25:10.799,2f6af23623,imsi-999702668071898,ausf,AUTHENTICATION,OK,
2026-07-06T02:25:10.814,2f6af23623,imsi-999702668071898,amf,REGISTRATION,OK,
2026-07-06T02:25:10.986,2f6af23623,imsi-999702668071898,smf,PDU_SESSION,OK,10.45.0.74
2026-07-06T02:28:48.413,1999c019c3,imsi-999703656962344,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:28:48.442,1999c019c3,imsi-999703656962344,ausf,AUTHENTICATION,OK,
2026-07-06T02:28:48.467,1999c019c3,imsi-999703656962344,amf,REGISTRATION,OK,
2026-07-06T02:28:48.520,1999c019c3,imsi-999703656962344,smf,PDU_SESSION,OK,10.45.0.178
2026-07-06T02:31:19.339,c54941d32d,imsi-999703537508116,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:31:19.361,c54941d32d,imsi-999703537508116,ausf,AUTHENTICATION,OK,
2026-07-06T02:31:19.385,c54941d32d,imsi-999703537508116,amf,REGISTRATION,OK,
2026-07-06T02:31:19.490,c54941d32d,imsi-999703537508116,smf,PDU_SESSION,OK,10.45.0.220
2026-07-06T02:37:00.823,4608d0eb64,imsi-999708158336812,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:37:00.851,4608d0eb64,imsi-999708158336812,ausf,AUTHENTICATION,OK,
2026-07-06T02:37:00.863,4608d0eb64,imsi-999708158336812,amf,REGISTRATION,OK,
2026-07-06T02:37:01.028,4608d0eb64,imsi-999708158336812,smf,PDU_SESSION,OK,10.45.0.152
2026-07-06T02:41:00.089,a24f3afd3f,imsi-999708055859518,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:41:00.102,a24f3afd3f,imsi-999708055859518,ausf,AUTHENTICATION,OK,
2026-07-06T02:41:00.117,a24f3afd3f,imsi-999708055859518,amf,REGISTRATION,OK,
2026-07-06T02:41:00.191,a24f3afd3f,imsi-999708055859518,smf,PDU_SESSION,OK,10.45.0.152
2026-07-06T02:43:21.436,5ec74063c0,imsi-999700634141913,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:43:21.461,5ec74063c0,imsi-999700634141913,ausf,AUTHENTICATION,OK,
2026-07-06T02:43:21.500,5ec74063c0,imsi-999700634141913,amf,REGISTRATION,OK,
2026-07-06T02:43:21.595,5ec74063c0,imsi-999700634141913,smf,PDU_SESSION,OK,10.45.0.236
2026-07-06T02:46:31.798,f39651d33e,imsi-999707464479611,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:46:31.817,f39651d33e,imsi-999707464479611,ausf,AUTHENTICATION,OK,
2026-07-06T02:46:31.833,f39651d33e,imsi-999707464479611,amf,REGISTRATION,OK,
2026-07-06T02:46:32.020,f39651d33e,imsi-999707464479611,smf,PDU_SESSION,OK,10.45.0.231
2026-07-06T02:46:58.160,f857919987,imsi-999701403736460,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:46:58.170,f857919987,imsi-999701403736460,ausf,AUTHENTICATION,OK,
2026-07-06T02:46:58.201,f857919987,imsi-999701403736460,amf,REGISTRATION,OK,
2026-07-06T02:46:58.330,f857919987,imsi-999701403736460,smf,PDU_SESSION,FAIL,
2026-07-06T02:57:53.821,eaa262f951,imsi-999701095014455,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:57:53.833,eaa262f951,imsi-999701095014455,ausf,AUTHENTICATION,OK,
2026-07-06T02:57:53.860,eaa262f951,imsi-999701095014455,amf,REGISTRATION,OK,
2026-07-06T02:57:53.960,eaa262f951,imsi-999701095014455,smf,PDU_SESSION,OK,10.45.0.92
2026-07-06T02:58:52.986,43b7961b1a,imsi-999709207876580,amf,REGISTRATION_REQUEST,OK,
2026-07-06T02:58:53.004,43b7961b1a,imsi-999709207876580,ausf,AUTHENTICATION,OK,
2026-07-06T02:58:53.044,43b7961b1a,imsi-999709207876580,amf,REGISTRATION,OK,
2026-07-06T02:58:53.094,43b7961b1a,imsi-999709207876580,smf,PDU_SESSION,OK,10.45.0.180
2026-07-06T03:09:18.567,8568ca418b,imsi-999707211489634,amf,REGISTRATION_REQUEST,OK,
2026-07-06T03:09:18.586,8568ca418b,imsi-999707211489634,ausf,AUTHENTICATION,OK,
2026-07-06T03:09:18.606,8568ca418b,imsi-999707211489634,amf,REGISTRATION,OK,
2026-07-06T03:09:18.708,8568ca418b,imsi-999707211489634,smf,PDU_SESSION,OK,10.45.0.218
2026-07-06T03:10:56.487,f901b585fb,imsi-999702176703476,amf,REGISTRATION_REQUEST,OK,
2026-07-06T03:10:56.500,f901b585fb,imsi-999702176703476,ausf,AUTHENTICATION,OK,
2026-07-06T03:10:56.510,f901b585fb,imsi-999702176703476,amf,REGISTRATION,OK,
2026-07-06T03:10:56.616,f901b585fb,imsi-999702176703476,smf,PDU_SESSION,OK,10.45.0.123
2026-07-06T03:14:04.076,ab6182106c,imsi-999703558289582,amf,REGISTRATION_REQUEST,OK,
2026-07-06T03:14:04.085,ab6182106c,imsi-999703558289582,ausf,AUTHENTICATION,OK,
2026-07-06T03:14:04.123,ab6182106c,imsi-999703558289582,amf,REGISTRATION,OK,
2026-07-06T03:14:04.241,ab6182106c,imsi-999703558289582,smf,PDU_SESSION,OK,10.45.0.210
2026-07-06T03:14:48.993,3c3f2825f0,imsi-999701054250437,amf,REGISTRATION_REQUEST,OK,
2026-07-06T03:14:49.006,3c3f2825f0,imsi-999701054250437,ausf,AUTHENTICATION,OK,
2026-07-06T03:14:49.031,3c3f2825f0,imsi-999701054250437,amf,REGISTRATION,OK,
2026-07-06T03:14:49.152,3c3f2825f0,imsi-999701054250437,smf,PDU_SESSION,OK,10.45.0.84
2026-07-06T03:17:36.345,6f15bc315d,imsi-999704204195434,amf,REGISTRATION_REQUEST,OK,
2026-07-06T03:17:36.364,6f15bc315d,imsi-999704204195434,ausf,AUTHENTICATION,OK,
2026-07-06T03:17:36.378,6f15bc315d,imsi-999704204195434,amf,REGISTRATION,OK,
