Jul  6 00:01:19 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000831@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:21:10 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003687@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:22:10 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001673@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:23:02 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004890@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:25:26 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001365@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:30:04 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003742@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:30:33 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003490@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:31:15 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000458@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:39:24 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000202@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:40:20 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001175@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:40:39 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002355@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:42:33 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002997@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:45:08 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001863@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:45:23 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000697@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:47:14 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000132@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:48:01 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002862@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:49:17 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001223@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:50:12 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000862@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:52:22 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002839@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:55:56 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001963@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:57:58 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003924@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 00:59:36 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002713@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:01:02 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002287@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:01:35 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004351@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:05:40 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000881@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:06:43 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004004@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:09:31 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001231@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:11:49 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001230@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:12:05 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003801@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:14:18 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001823@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:19:54 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001797@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:20:17 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001294@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:20:39 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003113@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:25:07 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001264@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:25:59 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004541@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:29:00 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003101@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:29:30 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004098@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:31:30 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002675@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:31:43 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002627@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:31:47 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002204@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:36:25 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003441@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:36:54 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001212@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:37:53 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003406@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:40:00 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004240@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:44:47 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001945@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:50:35 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000715@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:52:19 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002642@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:54:04 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002182@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:55:39 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002764@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:58:08 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004636@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:59:41 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002528@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 01:59:46 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000818@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:00:08 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002984@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:01:28 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000234@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:05:31 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002742@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:05:33 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001980@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:10:16 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003255@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:11:34 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003721@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:12:17 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002468@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:15:17 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001807@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:18:12 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002914@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:19:33 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001235@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:20:09 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002251@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:20:30 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004894@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:22:33 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002570@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:23:30 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001821@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:27:46 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002945@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:27:50 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002660@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:31:24 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003517@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:31:25 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000336@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:36:47 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000970@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:37:07 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003631@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:38:59 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002212@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:40:11 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000872@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:41:54 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003626@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:42:06 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003880@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:46:57 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003051@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:49:17 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002651@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:49:20 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001179@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:52:44 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002447@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:53:22 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000990@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:56:22 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002401@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 02:57:51 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004853@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:00:08 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000332@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:03:04 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004108@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:08:18 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000670@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:10:19 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001579@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:10:38 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001348@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:13:11 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001011@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:14:21 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001898@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:19:03 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004150@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:19:45 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002883@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:20:11 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003319@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:20:16 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003415@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:20:23 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002796@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:23:12 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003939@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:26:19 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003653@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:36:58 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003418@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:37:54 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001603@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:38:58 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003138@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:41:20 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003081@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:43:57 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002154@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:44:06 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003460@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:48:30 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001039@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:49:36 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004526@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:50:23 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004735@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:53:13 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000001459@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:53:30 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000637@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:53:31 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000510@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:57:22 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002507@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 03:58:48 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000051@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 04:02:10 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002512@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 04:04:45 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000003251@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 04:05:05 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000004218@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 04:06:53 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000000561@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
Jul  6 04:10:32 ims kamailio-icscf[3045]: INFO: cdp [routing.c:118]: Cx UAR for 999700000002887@ims.mnc070.mcc999.3gpp.network.org, assigned scscf.ims.mnc070.mcc999.3gpp.network.org
