rop_start,registration_sr_pct,call_setup_sr_pct,answer_seizure_ratio_pct,call_drop_rate_pct,mos_avg,active_registrations,active_calls
2026-07-06T10:45:00,99.38,97.96,85.71,1.02,4.37,3702,228
2026-07-06T11:00:00,99.69,98.07,83.15,0.66,4.27,3851,241
2026-07-06T11:15:00,98.61,98.55,86.59,0.42,4.4,4031,216
2026-07-06T11:30:00,99.5,97.79,83.82,0.88,4.26,4101,257
2026-07-06T11:45:00,99.56,98.28,85.38,0.76,4.33,4227,301
2026-07-06T12:00:00,98.75,97.91,85.61,0.27,4.32,4372,305
2026-07-06T12:15:00,99.27,97.22,84.95,1.09,4.45,4476,305
2026-07-06T12:30:00,99.72,98.28,86.24,0.0,4.31,4599,322
2026-07-06T12:45:00,99.27,97.37,81.84,1.34,4.38,4684,316
2026-07-06T13:00:00,99.47,97.73,81.82,0.76,4.19,4818,324
2026-07-06T13:15:00,99.12,97.89,82.03,0.77,4.37,4962,323
2026-07-06T13:30:00,99.64,48.88,39.41,12.26,3.96,5000,235
2026-07-06T13:45:00,99.33,51.5,43.78,12.75,4.01,5000,196
2026-07-06T14:00:00,99.49,97.11,84.27,1.07,4.38,5000,311
2026-07-06T14:15:00,99.5,97.87,85.41,1.34,4.4,5000,385
2026-07-06T14:30:00,99.44,97.96,85.4,0.6,4.28,5000,405
2026-07-06T14:45:00,99.65,98.43,83.39,0.63,4.24,5000,400
2026-07-06T15:00:00,99.23,98.56,85.94,0.37,4.31,5000,429
2026-07-06T15:15:00,99.55,99.3,84.76,1.03,4.22,5000,413
2026-07-06T15:30:00,99.49,97.45,82.68,0.0,4.3,5000,408
2026-07-06T15:45:00,99.8,97.97,85.02,0.73,4.43,5000,436
2026-07-06T16:00:00,99.77,99.36,86.86,0.74,4.26,5000,445
2026-07-06T16:15:00,99.64,97.82,82.71,0.56,4.23,5000,443
2026-07-06T16:30:00,99.4,97.77,84.37,0.57,4.39,5000,441
2026-07-06T16:45:00,99.89,97.81,83.06,0.66,4.47,5000,480
2026-07-06T17:00:00,99.69,98.08,83.17,0.77,4.37,5000,451
2026-07-06T17:15:00,99.64,98.6,83.71,0.84,4.28,5000,419
2026-07-06T17:30:00,99.43,96.84,82.25,0.48,4.32,5000,376
2026-07-06T17:45:00,99.6,98.27,82.53,1.16,4.42,5000,365
2026-07-06T18:00:00,99.16,96.88,84.4,1.09,4.36,5000,376
2026-07-06T18:15:00,99.12,96.83,85.31,0.78,4.37,5000,405
2026-07-06T18:30:00,99.28,98.35,87.09,1.26,4.47,5000,320
2026-07-06T18:45:00,99.61,98.09,79.83,0.27,4.38,5000,316
2026-07-06T19:00:00,98.77,98.19,85.88,0.96,4.4,5000,388
2026-07-06T19:15:00,99.12,98.68,83.38,0.95,4.3,5000,313
2026-07-06T19:30:00,99.61,98.31,84.06,0.57,4.36,5000,299
2026-07-06T19:45:00,99.56,97.9,81.82,0.85,4.23,5000,295
2026-07-06T20:00:00,99.83,97.6,83.48,1.08,4.28,4971,257
2026-07-06T20:15:00,98.96,97.34,83.81,0.98,4.42,5000,307
2026-07-06T20:30:00,99.48,99.29,84.52,1.13,4.31,4959,300
2026-07-06T20:45:00,99.77,98.18,84.8,0.36,4.39,5000,259
2026-07-06T21:00:00,99.18,98.51,81.59,1.22,4.47,4983,267
2026-07-06T21:15:00,99.54,97.9,84.38,0.71,4.36,5000,247
2026-07-06T21:30:00,99.63,99.04,85.03,0.75,4.37,4926,232
2026-07-06T21:45:00,99.47,98.01,83.67,1.43,4.31,4885,198
2026-07-06T22:00:00,99.82,98.23,83.75,8.44,4.28,1770,118
2026-07-06T22:15:00,99.4,97.8,83.96,0.0,4.26,2118,180
2026-07-06T22:30:00,95.02,90.95,76.92,1.76,4.37,2336,157
2026-07-06T22:45:00,96.32,90.82,76.81,0.63,4.42,2551,142
2026-07-06T23:00:00,95.64,90.98,81.97,0.5,4.44,2654,156
2026-07-06T23:15:00,96.76,93.75,77.34,1.01,4.38,2784,161
2026-07-06T23:30:00,94.53,85.29,75.29,0.0,4.28,2936,128
2026-07-06T23:45:00,99.39,97.59,85.54,0.0,4.43,3029,122
2026-07-07T00:00:00,99.41,99.32,84.46,0.0,4.31,3130,111
2026-07-07T00:15:00,99.57,99.33,87.25,0.0,4.34,3183,109
2026-07-07T00:30:00,99.53,97.45,79.62,0.0,4.29,3205,106
2026-07-07T00:45:00,99.3,98.5,80.45,0.0,4.32,3224,96
2026-07-07T01:00:00,99.37,96.04,88.12,1.12,4.44,3281,82
2026-07-07T01:15:00,99.29,99.0,88.0,0.0,4.27,3286,77
2026-07-07T01:30:00,99.5,98.18,82.73,1.1,4.27,3277,76
2026-07-07T01:45:00,99.48,96.19,80.0,2.38,4.34,3252,72
2026-07-07T02:00:00,99.28,97.65,85.88,2.74,4.35,3256,65
2026-07-07T02:15:00,98.6,99.06,86.79,2.17,4.47,3210,72
2026-07-07T02:30:00,99.44,97.5,86.25,0.0,4.36,3175,63
2026-07-07T02:45:00,99.15,99.13,87.83,0.99,4.36,3134,75
2026-07-07T03:00:00,99.72,98.21,90.18,0.0,4.35,3101,80
2026-07-07T03:15:00,99.72,98.67,78.67,0.0,4.45,3071,61
2026-07-07T03:30:00,99.51,96.19,81.9,0.0,4.4,3087,67
2026-07-07T03:45:00,99.18,98.92,82.8,1.3,4.32,3066,65
2026-07-07T04:00:00,99.45,96.15,83.33,0.0,4.41,3047,58
2026-07-07T04:15:00,99.01,98.67,85.33,0.0,4.33,3061,55
2026-07-07T04:30:00,100.0,97.37,80.26,0.0,4.49,3105,52
2026-07-07T04:45:00,99.44,98.15,83.33,1.11,4.39,3079,66
2026-07-07T05:00:00,99.0,98.86,84.09,0.0,4.42,3088,63
2026-07-07T05:15:00,98.95,97.17,81.13,1.16,4.4,3078,68
2026-07-07T05:30:00,99.58,98.98,88.78,3.45,4.26,3146,70
2026-07-07T05:45:00,100.0,98.28,86.21,0.0,4.49,3132,78
2026-07-07T06:00:00,99.49,97.89,83.16,1.27,4.48,3129,70
2026-07-07T06:15:00,99.5,100.0,95.65,0.0,4.41,2976,50
2026-07-07T06:30:00,98.88,98.1,79.05,1.2,4.42,2960,61
2026-07-07T06:45:00,99.03,99.07,92.59,1.0,4.38,3071,74
2026-07-07T07:00:00,98.89,95.92,76.53,0.0,4.28,3120,67
2026-07-07T07:15:00,98.94,96.77,77.42,0.0,4.28,3105,62
2026-07-07T07:30:00,99.25,99.24,87.88,0.0,4.3,3110,83
2026-07-07T07:45:00,99.37,100.0,84.14,0.82,4.41,3175,94
2026-07-07T08:00:00,99.04,98.68,83.55,0.79,4.37,3187,101
2026-07-07T08:15:00,99.8,98.44,82.81,0.0,4.37,3274,119
2026-07-07T08:30:00,99.79,99.4,84.43,0.0,4.39,3329,118
2026-07-07T08:45:00,100.0,98.95,87.43,0.0,4.34,3396,130
2026-07-07T09:00:00,99.44,98.73,83.12,0.0,4.4,3479,150
2026-07-07T09:15:00,99.24,97.98,83.87,0.48,4.39,3545,164
2026-07-07T09:30:00,99.83,99.18,86.89,0.47,4.2,3652,171
2026-07-07T09:45:00,99.31,98.15,82.59,0.0,4.32,3745,180
2026-07-07T10:00:00,98.98,98.79,87.1,0.93,4.39,3836,180
2026-07-07T10:15:00,60.48,96.94,78.59,0.78,4.21,3654,200
2026-07-07T10:30:00,99.63,97.98,87.32,0.33,4.34,3719,231
2026-07-07T10:45:00,99.69,98.71,84.89,1.52,4.2,3851,224
2026-07-07T11:00:00,99.65,97.29,82.23,0.37,4.2,3926,226
2026-07-07T11:15:00,99.8,97.04,79.59,1.49,4.29,3937,225
2026-07-07T11:30:00,99.41,99.05,84.6,1.12,4.15,4078,268
2026-07-07T11:45:00,99.36,97.97,79.7,1.27,4.38,4290,264
2026-07-07T12:00:00,98.84,97.92,84.3,1.1,4.41,4471,288
2026-07-07T12:15:00,99.15,98.62,85.78,2.67,3.08,4583,302
2026-07-07T12:30:00,99.54,99.02,86.27,3.18,2.89,4808,340
2026-07-07T12:45:00,99.29,98.52,85.4,5.19,3.02,4888,367
2026-07-07T13:00:00,99.12,97.84,81.49,4.13,2.89,5000,316
2026-07-07T13:15:00,99.84,98.72,83.79,3.48,2.94,5000,356
2026-07-07T13:30:00,98.61,97.87,87.03,3.27,3.01,5000,387
2026-07-07T13:45:00,99.39,98.26,84.14,2.76,2.92,5000,372
2026-07-07T14:00:00,99.66,96.51,80.88,3.41,3.05,5000,369
2026-07-07T14:15:00,99.56,98.74,85.71,3.43,2.91,5000,351
2026-07-07T14:30:00,99.36,98.75,86.48,2.47,2.94,5000,383
2026-07-07T14:45:00,99.49,98.11,82.61,3.43,2.99,5000,371
2026-07-07T15:00:00,99.28,97.71,83.27,4.23,3.0,5000,385
2026-07-07T15:15:00,98.95,98.06,84.72,3.44,2.96,5000,459
2026-07-07T15:30:00,99.72,97.37,84.94,2.89,2.94,5000,426
2026-07-07T15:45:00,99.57,98.39,84.41,3.24,2.98,5000,432
2026-07-07T16:00:00,99.75,97.78,82.59,3.31,2.8,5000,415
2026-07-07T16:15:00,99.01,98.16,84.56,1.3,4.31,5000,396
2026-07-07T16:30:00,99.26,98.6,85.2,0.73,4.5,5000,431
2026-07-07T16:45:00,99.26,99.16,84.7,0.74,4.48,5000,374
2026-07-07T17:00:00,99.68,96.81,83.25,1.72,4.28,5000,410
2026-07-07T17:15:00,99.36,97.65,83.05,0.76,4.41,5000,428
2026-07-07T17:30:00,99.67,97.6,83.8,0.72,4.33,5000,381
2026-07-07T17:45:00,99.18,98.76,84.07,1.05,4.32,5000,389
2026-07-07T18:00:00,99.27,97.96,82.53,0.45,4.21,5000,377
2026-07-07T18:15:00,99.73,97.95,85.15,0.8,4.44,5000,400
2026-07-07T18:30:00,98.98,97.99,85.45,0.78,4.5,5000,415
2026-07-07T18:45:00,99.88,97.89,85.05,0.99,4.33,5000,368
2026-07-07T19:00:00,99.75,98.98,84.55,1.92,4.34,5000,355
2026-07-07T19:15:00,99.5,97.61,84.77,0.43,4.33,5000,373
2026-07-07T19:30:00,99.86,98.59,84.27,1.95,4.28,5000,328
2026-07-07T19:45:00,99.36,96.39,82.17,0.27,4.34,4996,313
2026-07-07T20:00:00,99.43,98.19,84.42,0.8,4.27,5000,312
2026-07-07T20:15:00,99.56,99.04,83.93,0.29,4.4,5000,299
2026-07-07T20:30:00,99.02,99.27,88.56,0.82,4.41,4982,301
2026-07-07T20:45:00,98.72,97.75,83.94,0.67,4.36,4976,269
2026-07-07T21:00:00,100.0,97.89,82.59,0.0,4.43,4886,264
2026-07-07T21:15:00,99.4,98.75,85.27,0.74,4.38,4925,241
2026-07-07T21:30:00,99.5,98.41,83.55,1.59,4.37,4905,254
2026-07-07T21:45:00,99.45,98.44,84.38,0.37,4.42,4992,236
2026-07-07T22:00:00,99.84,98.33,87.08,1.44,4.48,4987,199
2026-07-07T22:15:00,98.5,97.39,80.87,1.08,4.26,4958,172
2026-07-07T22:30:00,99.26,97.96,82.86,0.99,4.46,4998,170
2026-07-07T22:45:00,99.3,97.3,84.86,0.64,4.46,4952,146
2026-07-07T23:00:00,99.38,98.54,85.44,1.14,4.24,4839,146
2026-07-07T23:15:00,99.22,97.86,86.32,1.49,4.47,4758,159
2026-07-07T23:30:00,99.58,98.58,88.65,0.0,4.34,4656,126
2026-07-07T23:45:00,99.75,98.71,83.23,2.33,4.33,4509,115
2026-07-08T00:00:00,99.02,99.42,83.24,0.69,4.32,4380,118
2026-07-08T00:15:00,99.36,98.45,83.72,0.0,4.41,4311,101
2026-07-08T00:30:00,99.77,99.09,83.64,1.09,4.37,4219,86
2026-07-08T00:45:00,99.74,97.3,81.08,1.11,4.17,4105,79
2026-07-08T01:00:00,99.78,96.06,85.04,0.0,4.4,4054,85
2026-07-08T01:15:00,99.56,100.0,84.72,0.82,4.41,4013,95
2026-07-08T01:30:00,99.19,100.0,88.37,0.0,4.41,4001,76
2026-07-08T01:45:00,61.41,100.0,85.71,0.0,4.3,3716,72
2026-07-08T02:00:00,100.0,95.28,82.08,2.3,4.48,3686,72
2026-07-08T02:15:00,99.49,98.06,88.35,0.0,4.32,3631,74
2026-07-08T02:30:00,100.0,98.1,91.43,1.04,4.35,3606,77
2026-07-08T02:45:00,99.22,98.11,82.08,0.0,4.34,3550,74
2026-07-08T03:00:00,99.72,98.65,77.03,1.75,4.28,3483,58
2026-07-08T03:15:00,99.3,97.67,83.72,4.17,4.27,3475,59
2026-07-08T03:30:00,99.77,97.89,76.84,2.74,4.43,3471,60
2026-07-08T03:45:00,99.54,94.81,79.22,0.0,4.44,3469,54
2026-07-08T04:00:00,99.78,98.25,86.84,1.01,4.4,3489,71
2026-07-08T04:15:00,99.18,98.65,86.49,0.0,4.42,3431,60
2026-07-08T04:30:00,99.54,98.78,85.37,0.0,4.42,3434,59
2026-07-08T04:45:00,99.47,97.35,83.19,0.0,4.3,3391,70
2026-07-08T05:00:00,98.19,98.99,84.85,2.38,4.41,3399,70
2026-07-08T05:15:00,99.22,95.29,87.06,0.0,4.29,3362,65
2026-07-08T05:30:00,99.5,96.39,78.31,3.08,4.43,3343,58
2026-07-08T05:45:00,99.52,99.05,90.48,1.05,4.36,3336,70
2026-07-08T06:00:00,99.43,96.88,83.33,2.5,4.21,3280,68
2026-07-08T06:15:00,99.74,97.17,86.79,1.09,4.43,3258,73
2026-07-08T06:30:00,98.96,100.0,86.87,2.33,4.36,3312,72
2026-07-08T06:45:00,99.45,99.26,88.89,0.83,4.32,3267,88
2026-07-08T07:00:00,99.25,97.16,84.4,0.0,4.29,3256,95
2026-07-08T07:15:00,100.0,98.1,86.08,0.0,4.49,3164,106
2026-07-08T07:30:00,99.43,98.25,81.29,1.44,4.32,3261,111
2026-07-08T07:45:00,100.0,97.73,84.09,1.8,4.41,3314,100
2026-07-08T08:00:00,99.25,98.95,90.53,0.0,4.5,3299,126
2026-07-08T08:15:00,100.0,95.56,77.04,0.0,4.32,3288,102
2026-07-08T08:30:00,99.17,98.25,87.13,0.67,4.33,3340,115
2026-07-08T08:45:00,99.79,97.98,83.81,0.0,4.21,3390,149
2026-07-08T09:00:00,99.8,97.3,83.78,0.46,4.43,3450,168
2026-07-08T09:15:00,99.33,98.23,88.69,1.2,4.36,3579,192
2026-07-08T09:30:00,99.12,99.31,86.46,0.0,4.44,3578,201
2026-07-08T09:45:00,99.63,97.81,83.77,1.57,4.37,3648,176
2026-07-08T10:00:00,99.52,97.21,81.88,0.43,4.46,3779,187
2026-07-08T10:15:00,99.82,97.12,80.22,1.35,4.39,3842,186
2026-07-08T10:30:00,99.82,98.07,84.02,0.33,4.39,3895,227
2026-07-08T10:45:00,99.16,98.25,81.63,0.36,4.38,4070,230
2026-07-08T11:00:00,99.13,97.95,82.16,0.71,4.33,4116,232
2026-07-08T11:15:00,99.45,96.76,85.25,1.38,4.33,4284,237
2026-07-08T11:30:00,99.44,98.13,81.87,0.98,4.49,4419,248
2026-07-08T11:45:00,99.4,98.15,85.19,1.09,4.28,4634,237
2026-07-08T12:00:00,99.69,99.0,86.07,0.29,4.22,4686,267
2026-07-08T12:15:00,99.48,97.55,83.09,1.18,4.38,4677,276
2026-07-08T12:30:00,99.41,97.14,83.03,0.49,4.29,4876,313
2026-07-08T12:45:00,99.72,97.58,87.41,1.11,4.36,4955,305
2026-07-08T13:00:00,99.64,97.85,86.13,1.13,4.32,5000,342
2026-07-08T13:15:00,99.65,96.99,82.13,0.98,4.47,5000,341
2026-07-08T13:30:00,98.69,97.15,83.58,0.8,4.38,5000,386
2026-07-08T13:45:00,99.45,98.61,86.26,0.6,4.49,5000,402
2026-07-08T14:00:00,99.36,98.87,82.2,0.98,4.36,5000,414
2026-07-08T14:15:00,99.77,97.39,83.71,0.39,4.38,5000,422
2026-07-08T14:30:00,99.04,97.95,82.94,0.21,4.35,5000,412
2026-07-08T14:45:00,98.88,98.75,86.38,1.04,4.36,5000,405
2026-07-08T15:00:00,99.64,97.45,82.13,1.41,4.3,5000,339
2026-07-08T15:15:00,99.4,97.92,84.28,0.67,4.19,5000,358
2026-07-08T15:30:00,99.53,97.75,83.6,0.38,4.31,5000,403
2026-07-08T15:45:00,99.37,97.34,82.35,0.23,4.4,5000,378
2026-07-08T16:00:00,99.8,97.6,84.25,1.02,4.42,5000,397
2026-07-08T16:15:00,98.89,97.69,83.81,0.85,4.34,5000,394
2026-07-08T16:30:00,99.42,96.84,82.36,0.4,4.4,5000,405
2026-07-08T16:45:00,99.46,98.04,85.73,0.98,4.27,5000,468
2026-07-08T17:00:00,99.51,97.21,84.19,0.92,4.5,5000,458
2026-07-08T17:15:00,99.14,98.69,84.11,0.44,4.32,5000,408
2026-07-08T17:30:00,99.55,98.15,82.34,0.25,4.38,5000,363
2026-07-08T17:45:00,100.0,97.85,82.83,0.86,4.31,5000,435
2026-07-08T18:00:00,99.21,98.31,85.16,0.2,4.31,5000,426
2026-07-08T18:15:00,98.55,98.32,85.85,0.65,4.47,5000,401
2026-07-08T18:30:00,99.61,98.7,85.0,0.77,4.24,5000,355
2026-07-08T18:45:00,99.31,99.05,86.76,0.27,4.35,5000,325
2026-07-08T19:00:00,99.27,97.9,85.01,1.23,4.36,5000,413
2026-07-08T19:15:00,99.62,97.84,83.42,0.43,4.46,5000,397
2026-07-08T19:30:00,100.0,96.85,84.23,0.8,4.3,5000,345
2026-07-08T19:45:00,99.67,97.19,84.18,0.63,4.25,4986,377
2026-07-08T20:00:00,98.84,97.97,84.77,0.3,4.38,5000,318
2026-07-08T20:15:00,99.56,97.43,85.71,0.0,4.15,5000,277
2026-07-08T20:30:00,99.31,98.31,84.27,0.0,4.38,4959,260
2026-07-08T20:45:00,99.53,97.18,85.35,0.99,4.37,4969,255
2026-07-08T21:00:00,99.71,96.59,84.51,0.62,4.36,5000,263
2026-07-08T21:15:00,99.56,98.93,86.43,0.0,4.35,5000,226
2026-07-08T21:30:00,99.54,96.93,80.84,0.47,4.26,5000,196
2026-07-08T21:45:00,99.21,99.13,84.42,1.03,4.31,4900,175
2026-07-08T22:00:00,99.33,97.61,81.23,0.84,4.37,4879,189
2026-07-08T22:15:00,99.15,99.16,85.23,0.99,4.31,4765,176
2026-07-08T22:30:00,98.98,97.33,82.06,0.93,4.34,4755,178
2026-07-08T22:45:00,99.82,97.07,85.36,1.47,4.38,4725,173
2026-07-08T23:00:00,99.59,96.9,82.3,0.54,4.33,4642,162
2026-07-08T23:15:00,99.63,99.22,85.27,1.36,4.34,4608,174
2026-07-08T23:30:00,99.45,98.51,85.64,0.58,4.44,4579,156
2026-07-08T23:45:00,99.79,97.3,84.86,1.91,4.44,4496,141
