rop_start,SIP_RegisterAtt,SIP_RegisterSucc,SIP_InviteAtt,SIP_InviteAnswered,SIP_InviteNetworkFail,SIP_CallDropped,IMS_ActiveRegistrations,IMS_ActiveCalls,RTP_MosAvg
2026-07-06T09:45:00,296,293,130,111,2,0,3113,89,4.44
2026-07-06T10:00:00,589,585,230,196,3,2,3268,133,4.43
2026-07-06T10:15:00,593,588,284,244,9,0,3409,175,4.28
2026-07-06T10:30:00,597,594,315,265,7,3,3542,202,4.39
2026-07-06T10:45:00,649,645,343,294,7,3,3702,228,4.37
2026-07-06T11:00:00,654,652,362,301,7,2,3851,241,4.27
2026-07-06T11:15:00,719,709,276,239,4,1,4031,216,4.4
2026-07-06T11:30:00,597,594,408,342,9,3,4101,257,4.26
2026-07-06T11:45:00,675,672,465,397,8,3,4227,301,4.33
2026-07-06T12:00:00,722,713,431,369,9,1,4372,305,4.32
2026-07-06T12:15:00,684,679,432,367,12,4,4476,305,4.45
2026-07-06T12:30:00,718,716,465,401,8,0,4599,322,4.31
2026-07-06T12:45:00,689,684,457,374,12,5,4684,316,4.38
2026-07-06T13:00:00,760,756,484,396,11,3,4818,324,4.19
2026-07-06T13:15:00,792,785,473,388,10,3,4962,323,4.37
2026-07-06T13:30:00,832,829,538,212,275,26,5000,235,3.96
2026-07-06T13:45:00,1038,1031,466,204,226,26,5000,196,4.01
2026-07-06T14:00:00,976,971,553,466,16,5,5000,311,4.38
2026-07-06T14:15:00,994,989,610,521,13,7,5000,385,4.4
2026-07-06T14:30:00,891,886,589,503,12,3,5000,405,4.28
2026-07-06T14:45:00,854,851,572,477,9,3,5000,400,4.24
2026-07-06T15:00:00,653,648,626,538,9,2,5000,429,4.31
2026-07-06T15:15:00,893,889,571,484,4,5,5000,413,4.22
2026-07-06T15:30:00,978,973,589,487,15,0,5000,408,4.3
2026-07-06T15:45:00,1018,1016,641,545,13,4,5000,436,4.43
2026-07-06T16:00:00,882,880,624,542,4,4,5000,445,4.26
2026-07-06T16:15:00,845,842,642,531,14,3,5000,443,4.23
2026-07-06T16:30:00,1002,996,627,529,14,3,5000,441,4.39
2026-07-06T16:45:00,919,918,732,608,16,4,5000,480,4.47
2026-07-06T17:00:00,957,954,624,519,12,4,5000,451,4.37
2026-07-06T17:15:00,840,837,571,478,8,4,5000,419,4.28
2026-07-06T17:30:00,880,875,507,417,16,2,5000,376,4.32
2026-07-06T17:45:00,998,994,521,430,9,5,5000,365,4.42
2026-07-06T18:00:00,838,831,545,460,17,5,5000,376,4.36
2026-07-06T18:15:00,906,898,599,511,19,4,5000,405,4.37
2026-07-06T18:30:00,831,825,364,317,6,4,5000,320,4.47
2026-07-06T18:45:00,776,773,471,376,9,1,5000,316,4.38
2026-07-06T19:00:00,812,802,609,523,11,5,5000,388,4.4
2026-07-06T19:15:00,791,784,379,316,5,3,5000,313,4.3
2026-07-06T19:30:00,766,763,414,348,7,2,5000,299,4.36
2026-07-06T19:45:00,913,909,429,351,9,3,5000,295,4.23
2026-07-06T20:00:00,592,591,333,278,8,3,4971,257,4.28
2026-07-06T20:15:00,767,759,488,409,13,4,5000,307,4.42
2026-07-06T20:30:00,580,577,420,355,3,4,4959,300,4.31
2026-07-06T20:45:00,852,850,329,279,6,1,5000,259,4.39
2026-07-06T21:00:00,612,607,402,328,6,4,4983,267,4.47
2026-07-06T21:15:00,653,650,333,281,7,2,5000,247,4.36
2026-07-06T21:30:00,537,535,314,267,3,2,4926,232,4.37
2026-07-06T21:45:00,570,567,251,210,5,3,4885,198,4.31
2026-07-06T22:00:00,567,566,283,237,5,20,1770,118,4.28
2026-07-06T22:15:00,663,659,318,267,7,0,2118,180,4.26
2026-07-06T22:30:00,582,553,221,170,20,3,2336,157,4.37
2026-07-06T22:45:00,598,576,207,159,19,1,2551,142,4.42
2026-07-06T23:00:00,482,461,244,200,22,1,2654,156,4.44
2026-07-06T23:15:00,525,508,256,198,16,2,2784,161,4.38
2026-07-06T23:30:00,585,553,170,128,25,0,2936,128,4.28
2026-07-06T23:45:00,488,485,166,142,4,0,3029,122,4.43
2026-07-07T00:00:00,510,507,148,125,1,0,3130,111,4.31
2026-07-07T00:15:00,461,459,149,130,1,0,3183,109,4.34
2026-07-07T00:30:00,429,427,157,125,4,0,3205,106,4.29
2026-07-07T00:45:00,430,427,133,107,2,0,3224,96,4.32
2026-07-07T01:00:00,479,476,101,89,4,1,3281,82,4.44
2026-07-07T01:15:00,420,417,100,88,1,0,3286,77,4.27
2026-07-07T01:30:00,404,402,110,91,2,1,3277,76,4.27
2026-07-07T01:45:00,382,380,105,84,4,2,3252,72,4.34
2026-07-07T02:00:00,416,413,85,73,2,2,3256,65,4.35
2026-07-07T02:15:00,356,351,106,92,1,2,3210,72,4.47
2026-07-07T02:30:00,360,358,80,69,2,0,3175,63,4.36
2026-07-07T02:45:00,351,348,115,101,1,1,3134,75,4.36
2026-07-07T03:00:00,353,352,112,101,2,0,3101,80,4.35
2026-07-07T03:15:00,352,351,75,59,1,0,3071,61,4.45
2026-07-07T03:30:00,407,405,105,86,4,0,3087,67,4.4
2026-07-07T03:45:00,365,362,93,77,1,1,3066,65,4.32
2026-07-07T04:00:00,363,361,78,65,3,0,3047,58,4.41
2026-07-07T04:15:00,404,400,75,64,1,0,3061,55,4.33
2026-07-07T04:30:00,439,439,76,61,2,0,3105,52,4.49
2026-07-07T04:45:00,359,357,108,90,2,1,3079,66,4.39
2026-07-07T05:00:00,401,397,88,74,1,0,3088,63,4.42
2026-07-07T05:15:00,380,376,106,86,3,1,3078,68,4.4
2026-07-07T05:30:00,473,471,98,87,1,3,3146,70,4.26
2026-07-07T05:45:00,378,378,116,100,2,0,3132,78,4.49
2026-07-07T06:00:00,391,389,95,79,2,1,3129,70,4.48
2026-07-07T06:15:00,202,201,46,44,0,0,2976,50,4.41
2026-07-07T06:30:00,357,353,105,83,2,1,2960,61,4.42
2026-07-07T06:45:00,516,511,108,100,1,1,3071,74,4.38
2026-07-07T07:00:00,451,446,98,75,4,0,3120,67,4.28
2026-07-07T07:15:00,377,373,93,72,3,0,3105,62,4.28
2026-07-07T07:30:00,399,396,132,116,1,0,3110,83,4.3
2026-07-07T07:45:00,475,472,145,122,0,1,3175,94,4.41
2026-07-07T08:00:00,417,413,152,127,2,1,3187,101,4.37
2026-07-07T08:15:00,511,510,192,159,3,0,3274,119,4.37
2026-07-07T08:30:00,480,479,167,141,1,0,3329,118,4.39
2026-07-07T08:45:00,502,502,191,167,2,0,3396,130,4.34
2026-07-07T09:00:00,533,530,237,197,3,0,3479,150,4.4
2026-07-07T09:15:00,524,520,248,208,5,1,3545,164,4.39
2026-07-07T09:30:00,580,579,244,212,2,1,3652,171,4.2
2026-07-07T09:45:00,579,575,270,223,5,0,3745,180,4.32
2026-07-07T10:00:00,590,584,248,216,3,2,3836,180,4.39
2026-07-07T10:15:00,663,401,327,257,10,2,3654,200,4.21
2026-07-07T10:30:00,542,540,347,303,7,1,3719,231,4.34
2026-07-07T10:45:00,635,633,311,264,4,4,3851,224,4.2
2026-07-07T11:00:00,579,577,332,273,9,1,3926,226,4.2
2026-07-07T11:15:00,507,506,338,269,10,4,3937,225,4.29
2026-07-07T11:30:00,675,671,422,357,4,4,4078,268,4.15
2026-07-07T11:45:00,783,778,394,314,8,4,4290,264,4.38
2026-07-07T12:00:00,775,766,433,365,9,4,4471,288,4.41
2026-07-07T12:15:00,707,701,436,374,6,10,4583,302,3.08
2026-07-07T12:30:00,862,858,510,440,5,14,4808,340,2.89
2026-07-07T12:45:00,709,704,541,462,8,24,4888,367,3.02
2026-07-07T13:00:00,794,787,416,339,9,14,5000,316,2.89
2026-07-07T13:15:00,631,630,549,460,7,16,5000,356,2.94
2026-07-07T13:30:00,866,854,563,490,12,16,5000,387,3.01
2026-07-07T13:45:00,815,810,517,435,9,12,5000,372,2.92
2026-07-07T14:00:00,875,872,544,440,19,15,5000,369,3.05
2026-07-07T14:15:00,908,904,476,408,6,14,5000,351,2.91
2026-07-07T14:30:00,933,927,562,486,7,12,5000,383,2.94
2026-07-07T14:45:00,780,776,529,437,10,15,5000,371,2.99
2026-07-07T15:00:00,836,830,568,473,13,20,5000,385,3.0
2026-07-07T15:15:00,760,752,720,610,14,21,5000,459,2.96
2026-07-07T15:30:00,709,707,571,485,15,14,5000,426,2.94
2026-07-07T15:45:00,928,924,622,525,10,17,5000,432,2.98
2026-07-07T16:00:00,809,807,586,484,13,16,5000,415,2.8
2026-07-07T16:15:00,811,803,544,460,10,6,5000,396,4.31
2026-07-07T16:30:00,941,934,642,547,9,4,5000,431,4.5
2026-07-07T16:45:00,949,942,477,404,4,3,5000,374,4.48
2026-07-07T17:00:00,950,947,627,522,20,9,5000,410,4.28
2026-07-07T17:15:00,786,781,637,529,15,4,5000,428,4.41
2026-07-07T17:30:00,914,911,500,419,12,3,5000,381,4.33
2026-07-07T17:45:00,856,849,565,475,7,5,5000,389,4.32
2026-07-07T18:00:00,826,820,538,444,11,2,5000,377,4.21
2026-07-07T18:15:00,744,742,586,499,12,4,5000,400,4.44
2026-07-07T18:30:00,686,679,598,511,12,4,5000,415,4.5
2026-07-07T18:45:00,828,827,475,404,10,4,5000,368,4.33
2026-07-07T19:00:00,789,787,492,416,5,8,5000,355,4.34
2026-07-07T19:15:00,803,799,545,462,13,2,5000,373,4.33
2026-07-07T19:30:00,696,695,426,359,6,7,5000,328,4.28
2026-07-07T19:45:00,627,623,443,364,16,1,4996,313,4.34
2026-07-07T20:00:00,706,702,443,374,8,3,5000,312,4.27
2026-07-07T20:15:00,684,681,417,350,4,1,5000,299,4.4
2026-07-07T20:30:00,611,605,411,364,3,3,4982,301,4.41
2026-07-07T20:45:00,626,618,355,298,8,2,4976,269,4.36
2026-07-07T21:00:00,511,511,379,313,8,0,4886,264,4.43
2026-07-07T21:15:00,667,663,319,272,4,2,4925,241,4.38
2026-07-07T21:30:00,595,592,377,315,6,5,4905,254,4.37
2026-07-07T21:45:00,729,725,320,270,5,1,4992,236,4.42
2026-07-07T22:00:00,621,620,240,209,4,3,4987,199,4.48
2026-07-07T22:15:00,599,590,230,186,6,2,4958,172,4.26
2026-07-07T22:30:00,677,672,245,203,5,2,4998,170,4.46
2026-07-07T22:45:00,573,569,185,157,5,1,4952,146,4.46
2026-07-07T23:00:00,483,480,206,176,3,2,4839,146,4.24
2026-07-07T23:15:00,510,506,234,202,5,3,4758,159,4.47
2026-07-07T23:30:00,471,469,141,125,2,0,4656,126,4.34
2026-07-07T23:45:00,401,400,155,129,2,3,4509,115,4.33
2026-07-08T00:00:00,407,403,173,144,1,1,4380,118,4.32
2026-07-08T00:15:00,466,463,129,108,2,0,4311,101,4.41
2026-07-08T00:30:00,427,426,110,92,1,1,4219,86,4.37
2026-07-08T00:45:00,387,386,111,90,3,1,4105,79,4.17
2026-07-08T01:00:00,453,452,127,108,5,0,4054,85,4.4
2026-07-08T01:15:00,459,457,144,122,0,1,4013,95,4.41
2026-07-08T01:30:00,493,489,86,76,0,0,4001,76,4.41
2026-07-08T01:45:00,368,226,98,84,0,0,3716,72,4.3
2026-07-08T02:00:00,429,429,106,87,5,2,3686,72,4.48
2026-07-08T02:15:00,396,394,103,91,2,0,3631,74,4.32
2026-07-08T02:30:00,424,424,105,96,2,1,3606,77,4.35
2026-07-08T02:45:00,385,382,106,87,2,0,3550,74,4.34
2026-07-08T03:00:00,363,362,74,57,1,1,3483,58,4.28
2026-07-08T03:15:00,430,427,86,72,2,3,3475,59,4.27
2026-07-08T03:30:00,432,431,95,73,2,2,3471,60,4.43
2026-07-08T03:45:00,435,433,77,61,4,0,3469,54,4.44
2026-07-08T04:00:00,461,460,114,99,2,1,3489,71,4.4
2026-07-08T04:15:00,368,365,74,64,1,0,3431,60,4.42
2026-07-08T04:30:00,437,435,82,70,1,0,3434,59,4.42
2026-07-08T04:45:00,379,377,113,94,3,0,3391,70,4.3
2026-07-08T05:00:00,443,435,99,84,1,2,3399,70,4.41
2026-07-08T05:15:00,383,380,85,74,4,0,3362,65,4.29
2026-07-08T05:30:00,400,398,83,65,3,2,3343,58,4.43
2026-07-08T05:45:00,413,411,105,95,1,1,3336,70,4.36
2026-07-08T06:00:00,350,348,96,80,3,2,3280,68,4.21
2026-07-08T06:15:00,386,385,106,92,3,1,3258,73,4.43
2026-07-08T06:30:00,481,476,99,86,0,2,3312,72,4.36
2026-07-08T06:45:00,361,359,135,120,1,1,3267,88,4.32
2026-07-08T07:00:00,400,397,141,119,4,0,3256,95,4.29
2026-07-08T07:15:00,292,292,158,136,3,0,3164,106,4.49
2026-07-08T07:30:00,522,519,171,139,3,2,3261,111,4.32
2026-07-08T07:45:00,476,476,132,111,3,2,3314,100,4.41
2026-07-08T08:00:00,400,397,190,172,2,0,3299,126,4.5
2026-07-08T08:15:00,400,400,135,104,6,0,3288,102,4.32
2026-07-08T08:30:00,482,478,171,149,3,1,3340,115,4.33
2026-07-08T08:45:00,483,482,247,207,5,0,3390,149,4.21
2026-07-08T09:00:00,502,501,259,217,7,1,3450,168,4.43
2026-07-08T09:15:00,598,594,283,251,5,3,3579,192,4.36
2026-07-08T09:30:00,452,448,288,249,2,0,3578,201,4.44
2026-07-08T09:45:00,539,537,228,191,5,3,3648,176,4.37
2026-07-08T10:00:00,625,622,287,235,8,1,3779,187,4.46
2026-07-08T10:15:00,554,553,278,223,8,3,3842,186,4.39
2026-07-08T10:30:00,550,549,363,305,7,1,3895,227,4.39
2026-07-08T10:45:00,714,708,343,280,6,1,4070,230,4.38
2026-07-08T11:00:00,574,569,342,281,7,2,4116,232,4.33
2026-07-08T11:15:00,731,727,339,289,11,4,4284,237,4.33
2026-07-08T11:30:00,711,707,375,307,7,3,4419,248,4.49
2026-07-08T11:45:00,829,824,324,276,6,3,4634,237,4.28
2026-07-08T12:00:00,649,647,402,346,4,1,4686,267,4.22
2026-07-08T12:15:00,580,577,408,339,10,4,4677,276,4.38
2026-07-08T12:30:00,841,836,489,406,14,2,4876,313,4.29
2026-07-08T12:45:00,714,712,413,361,10,4,4955,305,4.36
2026-07-08T13:00:00,827,824,512,441,11,5,5000,342,4.32
2026-07-08T13:15:00,855,852,498,409,15,4,5000,341,4.47
2026-07-08T13:30:00,915,903,597,499,17,4,5000,386,4.38
2026-07-08T13:45:00,912,907,575,496,8,3,5000,402,4.49
2026-07-08T14:00:00,780,775,618,508,7,5,5000,414,4.36
2026-07-08T14:15:00,875,873,614,514,16,2,5000,422,4.38
2026-07-08T14:30:00,833,825,586,486,12,1,5000,412,4.35
2026-07-08T14:45:00,983,972,558,482,7,5,5000,405,4.36
2026-07-08T15:00:00,825,822,431,354,11,5,5000,339,4.3
2026-07-08T15:15:00,995,989,528,445,11,3,5000,358,4.19
2026-07-08T15:30:00,860,856,622,520,14,2,5000,403,4.31
2026-07-08T15:45:00,797,792,527,434,14,1,5000,378,4.4
2026-07-08T16:00:00,994,992,584,492,14,5,5000,397,4.42
2026-07-08T16:15:00,990,979,562,471,13,4,5000,394,4.34
2026-07-08T16:30:00,1033,1027,601,495,19,2,5000,405,4.4
2026-07-08T16:45:00,746,742,715,613,14,6,5000,468,4.27
2026-07-08T17:00:00,815,811,645,543,18,5,5000,458,4.5
2026-07-08T17:15:00,1043,1034,535,450,7,2,5000,408,4.32
2026-07-08T17:30:00,890,886,487,401,9,1,5000,363,4.38
2026-07-08T17:45:00,706,706,699,579,15,5,5000,435,4.31
2026-07-08T18:00:00,1010,1002,593,505,10,1,5000,426,4.31
2026-07-08T18:15:00,964,950,537,461,9,3,5000,401,4.47
2026-07-08T18:30:00,771,768,460,391,6,3,5000,355,4.24
2026-07-08T18:45:00,721,716,423,367,4,1,5000,325,4.35
2026-07-08T19:00:00,819,813,667,567,14,7,5000,413,4.36
2026-07-08T19:15:00,795,792,555,463,12,2,5000,397,4.46
2026-07-08T19:30:00,878,878,444,374,14,3,5000,345,4.3
2026-07-08T19:45:00,613,611,569,479,16,3,4986,377,4.25
2026-07-08T20:00:00,776,767,394,334,8,1,5000,318,4.38
2026-07-08T20:15:00,683,680,350,300,9,0,5000,277,4.15
2026-07-08T20:30:00,581,577,356,300,6,0,4959,260,4.38
2026-07-08T20:45:00,637,634,355,303,10,3,4969,255,4.37
2026-07-08T21:00:00,686,684,381,322,13,2,5000,263,4.36
2026-07-08T21:15:00,689,686,280,242,3,0,5000,226,4.35
2026-07-08T21:30:00,658,655,261,211,8,1,5000,196,4.26
2026-07-08T21:45:00,506,502,231,195,2,2,4900,175,4.31
2026-07-08T22:00:00,593,589,293,238,7,2,4879,189,4.37
2026-07-08T22:15:00,473,469,237,202,2,2,4765,176,4.31
2026-07-08T22:30:00,591,585,262,215,7,2,4755,178,4.34
2026-07-08T22:45:00,561,560,239,204,7,3,4725,173,4.38
2026-07-08T23:00:00,491,489,226,186,7,1,4642,162,4.33
2026-07-08T23:15:00,541,539,258,220,2,3,4608,174,4.34
2026-07-08T23:30:00,545,542,202,173,3,1,4579,156,4.44
2026-07-08T23:45:00,471,470,185,157,5,3,4496,141,4.44
